,logLikelihood,Gene,AccNum
60,-15.582155878172117,TSN,NM_004622
61,-15.58912454748821,PEX10,NM_153818
62,-15.594578398170674,PGLS,NM_012088
63,-15.607473686156405,RNF40,NM_014771
64,-15.609743834690946,ZNF598,NM_178167
65,-15.620377090992314,CDC34,NM_004359
66,-15.629877095152644,PGP,NM_001042371
67,-15.630946042341549,NMT2,NM_004808
68,-15.630946042341549,NF2,NM_181832
69,-15.630946042341549,DERA,NM_015954
70,-15.630946042341549,AGRN,NM_198576
71,-15.636061143008318,CDKN1C,NM_000076
72,-15.636872661011187,FAF1,NM_007051
73,-15.670951376955248,RTN3,NM_001265589
74,-15.691570664157982,ALKBH4,NM_017621
75,-15.711442738309984,CENPU,NM_024629
76,-15.716888472142273,POLR2D,NM_004805
77,-15.727938308328858,PPP1CA,NM_001008709
78,-15.72972243012236,KAT2B,NM_003884
79,-15.738090679792876,CDK10,NM_052988
80,-15.760563535644934,GFER,NM_005262
81,-15.760807706077108,CTSZ,NM_001336
82,-15.782826573634267,UBQLN2,NM_013444
83,-15.798784748465133,PINK1,NM_032409
84,-15.799776131948041,SMDT1,NM_033318
85,-15.799776131948041,DBNL,NM_001122956
86,-15.814949685318489,POLD3,NM_006591
87,-15.833470306453023,NEK9,NM_001329237
88,-15.841438476102198,PYGB,NM_002862
89,-15.843451195450703,DENND3,NM_001352890
90,-15.845721343985241,SLC35E1,NM_024881
91,-15.849635243306377,MARK2,NM_001039469
92,-15.850419864766796,BRWD1,NM_033656
93,-15.871520036806881,HNRNPL,NM_001533
94,-15.880406901973132,SUMO2,NM_006937
95,-15.885105422754686,NFKBIB,NM_002503
96,-15.908059163444095,RNF187,NM_001010858
97,-15.914714215472193,IRF2BPL,NM_024496
98,-15.917559167604423,FEZ2,NM_001042548
99,-15.928780486257347,NPLOC4,NM_017921
100,-15.933307524572562,FRAT2,NM_012083
101,-15.936977253461526,ATMIN,NM_015251
102,-15.945730044571121,TMEM186,NM_015421
103,-15.958633449407028,MSRB2,NM_012228
104,-15.991675256608321,FOXO1,NM_002015
105,-15.99581775348446,DUSP3,NM_004090
106,-16.008240273483015,IGF2R,NM_000876
107,-16.0133502322461,GUK1,NM_000858
108,-16.013836258987137,BCL7A,NM_020993
109,-16.013938294597654,NOP14,NM_001291978
110,-16.02745483842764,TSR1,NM_018128
111,-16.03274142156075,TRIM65,NM_173547
112,-16.03582308809816,PIGT,NM_015937
113,-16.044575879207752,CHSY1,NM_014918
114,-16.048245608096714,PIGX,NM_001166304
115,-16.054760289117908,ZNF839,NM_018335
116,-16.063513080227505,WDR59,NM_030581
117,-16.075379576320646,IQGAP1,NM_003870
118,-16.08461325226759,SLC35A1,NM_006416
119,-16.094594141265272,PTPMT1,NM_175732
120,-16.112784129234285,UBALD1,NM_145253
121,-16.112784129234285,EXOSC4,NM_019037
122,-16.122936500698305,DHX16,NM_003587
123,-16.12342252743934,ZBTB4,NM_020899
124,-16.125206649232844,SNX5,NM_014426
125,-16.130802634736966,ARL6IP4,NM_001278380
126,-16.138101937218575,MZT2B,NM_001330282
127,-16.139501517573,CD63,NM_001257389
128,-16.14404181464208,KLF9,NM_001206
129,-16.14461661823977,RNPEP,NM_020216
130,-16.14688676677431,KDM3B,NM_016604
131,-16.150524457217134,ARID1A,NM_006015
132,-16.15175255510522,TARSL2,NM_152334
133,-16.15175255510522,SEPT8,NM_015146
134,-16.1614722577932,SLC43A2,NM_001284498
135,-16.161574293403717,RNF7,NM_014245
136,-16.16448869239177,RAB22A,NM_020673
137,-16.17162462925722,BCL7C,NM_001286526
138,-16.186892101388008,DIP2A,NM_001353942
139,-16.18829168174243,KCNK5,NM_003740
140,-16.18829168174243,IRAK1,NM_001569
141,-16.192415398926293,PEX6,NM_000287
142,-16.205241240056207,ZPR1,NM_003904
143,-16.206310187245112,DCBLD2,NM_080927
144,-16.220414793426652,GCN1,NM_006836
145,-16.22343122802522,PARP12,NM_022750
146,-16.22603200972528,MFSD2B,NM_001346880
147,-16.227714095908265,NBAS,NM_015909
148,-16.231383824797227,THUMPD1,NM_017736
149,-16.2316279952294,NT5C,NM_014595
150,-16.232249251073654,SH3GL1,NM_003025
151,-16.237081845911863,GGA2,NM_015044
152,-16.237081845911863,EDF1,NM_001281297
153,-16.245732601410943,PAXIP1,NM_007349
154,-16.256953920063864,BAZ1B,NM_032408
155,-16.265150687268044,FANCG,NM_004629
156,-16.266934809061546,METAP1,NM_015143
157,-16.266934809061546,CALM3,NM_005184
158,-16.27530305873206,SAE1,NM_005500
159,-16.28772557873062,TXNDC5,NM_030810
160,-16.2977064677283,VPS41,NM_014396
161,-16.306074717398815,SLC25A1,NM_005984
162,-16.323024275712587,C5orf51,NM_175921
163,-16.324093222901492,RNF138,NM_016271
164,-16.324093222901492,PRKAR1B,NM_001164761
165,-16.32528928234344,INTS4,NM_033547
166,-16.325877344694995,FAM83F,NM_138435
167,-16.326694004601553,SF3B4,NM_005850
168,-16.32862026121671,KPNA4,NM_002268
169,-16.338772632680726,PIP4K2A,NM_005028
170,-16.34104278121527,MTMR14,NM_001077525
171,-16.342111728404173,SERF2,NM_001199877
172,-16.34244236156969,CSNK2A2,NM_001896
173,-16.346080052012514,MDM1,NM_001205029
174,-16.351195152679285,SLC25A11,NM_003562
175,-16.354276819216693,ITFG1,NM_030790
176,-16.36046086707237,VPS18,NM_020857
177,-16.37229532471937,UBALD2,NM_182565
178,-16.383264356089946,TTLL12,NM_015140
179,-16.38471784471793,OXSR1,NM_005109
180,-16.38471784471793,GAN,NM_022041
181,-16.390644463387567,VTI1A,NM_001318203
182,-16.395931046520676,ATE1,NM_001288736
183,-16.39761313270366,P2RX4,NM_001256796
184,-16.407190700569988,DYNC1H1,NM_001376
185,-16.41003565270222,NUP210,NM_024923
186,-16.413117319239625,FLII,NM_002018
187,-16.415803120672678,MAD2L1,NM_002358
188,-16.417171589567666,MTCH2,NM_014342
189,-16.428384791370416,C1orf43,NM_001098616
190,-16.437650505763497,KLHL42,NM_020782
191,-16.438206529668914,WASHC4,NM_001293640
192,-16.43927547685782,UBE2R2,NM_017811
193,-16.44472121069011,INPPL1,NM_001567
194,-16.447802877227517,KIAA1522,NM_020888
195,-16.4492563658555,STOM,NM_004099
196,-16.457624615526015,SEC23IP,NM_007190
197,-16.457624615526015,RACK1,NM_006098
198,-16.462739716192786,STK11IP,NM_052902
199,-16.467776986990035,DOCK7,NM_001330614
200,-16.47279005204629,LAIR1,NM_002287
201,-16.472892087656803,USP25,NM_001283041
202,-16.47457417383979,HMG20B,NM_006339
203,-16.47597375419421,ADSS,NM_001126
204,-16.48002802452225,ETHE1,NM_014297
205,-16.485543205210362,ABHD5,NM_016006
206,-16.490078360375755,BCR,NM_004327
207,-16.491139190714485,AKIRIN2,NM_018064
208,-16.5012915621785,BRK1,NM_018462
209,-16.505243796896025,PTTG1IP,NM_004339
210,-16.515065535194527,C19orf53,NM_014047
211,-16.51646511554895,DNAJA4,NM_018602
212,-16.517180290153547,FUT11,NM_001284194
213,-16.52384522284657,TWF2,NM_007284
214,-16.52823012634013,CFAP36,NM_001282761
215,-16.534814254217146,ATIC,NM_004044
216,-16.536598376010648,MOCS3,NM_014484
217,-16.544635992515644,SBF1,NM_002972
218,-16.54583719386128,SMARCD1,NM_003076
219,-16.546420114309146,UBXN1,NM_015853
220,-16.554616881513326,REL,NM_002908
221,-16.55629896769631,TSPAN4,NM_001025237
222,-16.55647045016265,HBS1L,NM_006620
223,-16.557217663213383,LTBP1,NM_206943
224,-16.559071231862706,PKN3,NM_013355
225,-16.564186332529477,ANKRD10,NM_017664
226,-16.574167221527155,KLHDC10,NM_014997
227,-16.577420370530902,ATP2A3,NM_174953
228,-16.579934689497616,YDJC,NM_001017964
229,-16.58538854018008,RNASEH2B,NM_001142279
230,-16.585457987035902,GATAD1,NM_021167
231,-16.58830293916813,ENOSF1,NM_001354067
232,-16.589512257363943,MRPS10,NM_018141
233,-16.589756427796114,DNAJC14,NM_032364
234,-16.59235720949617,KCTD5,NM_018992
235,-16.596026938385137,GET4,NM_015949
236,-16.60072545916669,CDV3,NM_001134422
237,-16.603407045682758,MED30,NM_080651
238,-16.621927666817292,PPIL4,NM_139126
239,-16.627042767484063,MARCH2,NM_016496
240,-16.63012443402147,SON,NM_138927
241,-16.634248151205334,SNRPB,NM_003091
242,-16.641628258502955,SDC4,NM_002999
243,-16.651780629966975,PRCC,NM_005973
244,-16.65259728987353,DDX20,NM_007204
245,-16.654050778501514,CAST,NM_001750
246,-16.654381411667032,SDHAF3,NM_020186
247,-16.655111608840244,PIM1,NM_001243186
248,-16.65997739717115,PLCG1,NM_002660
249,-16.66014887963749,TSPO,NM_001256530
250,-16.669546848187302,IL17RA,NM_014339
251,-16.67239991716971,TRIM11,NM_145214
252,-16.681184746725442,FAAP100,NM_025161
253,-16.692121739649878,FBXO45,NM_001105573
254,-16.69511694345394,TBC1D20,NM_144628
255,-16.695116943453943,STK25,NM_001271977
256,-16.69998787368854,RPRD2,NM_015203
257,-16.708767561340583,SMARCD2,NM_001098426
258,-16.712891278524445,CCSAP,NM_145257
259,-16.7171358110111,RAB35,NM_006861
260,-16.729558331009656,HIST1H2BO,NM_003527
261,-16.73240328314189,DPP3,NM_130443
262,-16.734085369324873,RASSF1,NM_170714
263,-16.7436629371912,ISCU,NM_001320042
264,-16.751373677654342,POLE4,NM_019896
265,-16.753503455181974,GATD1,NM_001318821
266,-16.757627172365837,C19orf66,NM_018381
267,-16.76533791282898,RPL13,NM_033251
268,-16.765925975180533,NEDD4L,NM_001144967
269,-16.76852675688059,CYHR1,NM_001330618
270,-16.76852675688059,CPPED1,NM_018340
271,-16.76939218315702,ZFYVE21,NM_001198953
272,-16.77574771347903,HDAC3,NM_003883
273,-16.77574771347903,COMTD1,NM_144589
274,-16.77607834664455,ZNF212,NM_012256
275,-16.777760432827534,YARS,NM_003680
276,-16.777760432827534,RAD23A,NM_005053
277,-16.779133116639507,MRPL9,NM_031420
278,-16.786128682498052,ORC6,NM_014321
279,-16.78959489047454,BIRC5,NM_001012271
280,-16.79409685214723,DPYSL2,NM_001197293
281,-16.79409685214723,AACS,NM_023928
282,-16.795778938330212,PITHD1,NM_020362
283,-16.800163841823775,UFL1,NM_015323
284,-16.80139615462884,KCNN4,NM_002250
285,-16.806747969700787,MCCC2,NM_022132
286,-16.815500760810384,PXMP2,NM_018663
287,-16.82119878192502,GNA12,NM_007353
288,-16.822496326668926,EIF2S2,NM_003908
289,-16.832648698132946,STAB1,NM_015136
290,-16.8492676232812,MYBL2,NM_002466
291,-16.850186318798272,IGHMBP2,NM_002180
292,-16.850667203635624,FERMT3,NM_178443
293,-16.852451325429126,SEC63,NM_007214
294,-16.85858776196149,TRAPPC5,NM_174894
295,-16.862918241167844,KHSRP,NM_003685
296,-16.86308972363418,FIG4,NM_014845
297,-16.868826080145205,ST7L,NM_017744
298,-16.87215191711479,FAM193B,NM_001190946
299,-16.87307061263186,RANBP9,NM_005493
300,-16.87352460092676,RABEP1,NM_001291582
301,-16.880039281947955,PACS1,NM_018026
302,-16.882309430482493,WDR62,NM_001083961
303,-16.883120948485363,MRPS35,NM_021821
304,-16.884905070278865,THOC3,NM_032361
305,-16.891873739594956,HLA-F,NM_001098479
306,-16.898874447357187,MMP14,NM_004995
307,-16.899457367805056,INSR,NM_000208
308,-16.911879887803615,RING1,NM_002931
309,-16.91249302679769,CLCN2,NM_004366
310,-16.913892607152114,EMC7,NM_020154
311,-16.913892607152118,TANGO6,NM_024562
312,-16.92086127646821,DUSP12,NM_007240
313,-16.921860776801292,CD55,NM_001114752
314,-16.923714345450616,SPPL3,NM_139015
315,-16.93101364793223,RILPL2,NM_145058
316,-16.933695234448294,FNTA,NM_002027
317,-16.933764681304115,CEP76,NM_024899
318,-16.9371976957879,MED10,NM_032286
319,-16.9371976957879,ALG2,NM_033087
320,-16.937818951632156,ATXN10,NM_013236
321,-16.94027936232531,TRANK1,NM_001329998
322,-16.941732850953294,ADA,NM_000022
323,-16.942063484118812,RXRA,NM_001291920
324,-16.942132930974633,GTF3A,NM_002097
325,-16.942132930974633,CDT1,NM_030928
326,-16.946431371734846,MAP4K2,NM_004579
327,-16.947178584785583,GDPD5,NM_001351167
328,-16.947659469622934,IRAK3,NM_007199
329,-16.951302301969445,RAVER2,NM_018211
330,-16.953897941765813,TP53RK,NM_033550
331,-16.955546834456097,POLE3,NM_017443
332,-16.958399903438504,DMAP1,NM_019100
333,-16.959184524898923,NAIF1,NM_197956
334,-16.96008198962149,SUMO3,NM_001286416
335,-16.961764075804474,SLC43A1,NM_003627
336,-16.96453633997087,MAPK1,NM_002745
337,-16.96600860829113,CRK,NM_016823
338,-16.966596670642684,IRS2,NM_003749
339,-16.97023436108551,TMEM161A,NM_017814
340,-16.977031547935265,VPS37B,NM_024667
341,-16.978431128289685,YTHDC1,NM_001330698
342,-16.981485898284642,PEPD,NM_000285
343,-16.986468744794685,AP3D1,NM_001261826
344,-16.99253573447123,PPP3CB,NM_001142353
345,-16.99476754760938,DNAJA2,NM_005880
346,-16.996038195810836,TM7SF2,NM_003273
347,-16.996038195810836,CCDC84,NM_198489
348,-17.004958254469784,TTC17,NM_018259
349,-17.00741866516294,RPS6KA4,NM_003942
350,-17.00846071580939,ARL6IP1,NM_015161
351,-17.011056355605763,TSG101,NM_006292
352,-17.013570674572478,FZD5,NM_003468
353,-17.016171456272534,HIF1AN,NM_017902
354,-17.02420907277753,SPNS1,NM_032038
355,-17.02907486110844,TYMS,NM_001071
356,-17.02907486110844,RAN,NM_006325
357,-17.02907486110844,PEBP1,NM_002567
358,-17.02907486110844,NDFIP1,NM_030571
359,-17.02907486110844,IRF2,NM_002199
360,-17.029891521015,ISYNA1,NM_016368
361,-17.034189961775212,PPP3CC,NM_001243974
362,-17.034189961775212,NBEAL2,NM_015175
363,-17.035589542129635,RBM42,NM_024321
364,-17.045411280428134,DNM2,NM_001005361
365,-17.04709336661112,WDR90,NM_145294
366,-17.047423999776637,ULK3,NM_001099436
367,-17.049694148311175,AP1M1,NM_001130524
368,-17.051337899097774,SYMPK,NM_004819
369,-17.058062397981693,NCF4,NM_013416
370,-17.058062397981693,CRTAP,NM_006371
371,-17.059846519775196,TRIP13,NM_004237
372,-17.059846519775196,STX18,NM_016930
373,-17.065613987745653,AMFR,NM_001323512
374,-17.067226627072817,ANKRD39,NM_016466
375,-17.078925855616603,SRD5A3,NM_024592
376,-17.083049572800466,CPT2,NM_000098
377,-17.093613382246012,KPNA3,NM_002267
378,-17.095466950895336,FAM83D,NM_030919
379,-17.098899965379122,SIVA1,NM_006427
380,-17.10486491944515,WDFY1,NM_020830
381,-17.106264499799572,RIC8A,NM_021932
382,-17.1070967325833,FAM50B,NM_012135
383,-17.112550583265765,SURF1,NM_003172
384,-17.116416871263592,TSEN15,NM_001300764
385,-17.12153197193036,CHPT1,NM_020244
386,-17.122600919119265,ATP6V1E1,NM_001696
387,-17.124385040912767,UBN1,NM_001079514
388,-17.13183459506621,NT5DC1,NM_152729
389,-17.13621949855977,TRPC4AP,NM_015638
390,-17.13670552530081,AP2A1,NM_014203
391,-17.14140404608236,C19orf24,NM_017914
392,-17.1454583164104,EPS15L1,NM_001258376
393,-17.146686414298486,SLC25A13,NM_001160210
394,-17.156508152596988,MED27,NM_004269
395,-17.16075268508364,LEPROT,NM_017526
396,-17.16075268508364,FAM206A,NM_017832
397,-17.162606253732964,TMEM179B,NM_199337
398,-17.165937232606232,GCFC2,NM_003203
399,-17.1665201530541,MAGED1,NM_001005333
400,-17.169505476193237,ZNF653,NM_138783
401,-17.176710859914508,NHLRC2,NM_198514
402,-17.179171270607657,RRS1,NM_015169
403,-17.1832255409357,ERN1,NM_001433
404,-17.191593790606216,TSPYL2,NM_022117
405,-17.1932758767892,POLR2I,NM_006233
406,-17.199145380370176,ACAA2,NM_006111
407,-17.209942929274412,PLEC,NM_201380
408,-17.209942929274412,NDUFB7,NM_004146
409,-17.210813497454527,TEPSIN,NM_144679
410,-17.211396417902396,FXR2,NM_004860
411,-17.211625015457397,FBXW11,NM_012300
412,-17.212213077808954,NENF,NM_013349
413,-17.21259761924803,FKBP3,NM_002013
414,-17.213997199602453,PRICKLE3,NM_006150
415,-17.22487976823968,SNRNP200,NM_014014
416,-17.22796143477709,TCEA1,NM_006756
417,-17.227961434777093,PYCARD,NM_013258
418,-17.231016204772047,TGFBR1,NM_001306210
419,-17.23201570510513,HSPA2,NM_021979
420,-17.239567294869094,USP5,NM_001098536
421,-17.24038395477565,OSGEP,NM_017807
422,-17.24597994027977,SRSF10,NM_054016
423,-17.25221841242265,PPP1R7,NM_002712
424,-17.254278743094464,SNX9,NM_016224
425,-17.254488560957192,SET,NM_003011
426,-17.25733351308942,LONP1,NM_004793
427,-17.261247412410558,ALDH5A1,NM_170740
428,-17.26446944995487,NUP88,NM_001320653
429,-17.26748588455344,PPP1R21,NM_001135629
430,-17.26748588455344,KAT2A,NM_021078
431,-17.276751598946525,HNRNPLL,NM_138394
432,-17.276751598946525,C17orf53,NM_024032
433,-17.278935800761364,WRNIP1,NM_020135
434,-17.28550439005612,MVD,NM_002461
435,-17.288586056593527,JMY,NM_152405
436,-17.288757539059866,FAM120A,NM_014612
437,-17.29037017838703,RMI2,NM_152308
438,-17.293872639726636,SUPT16H,NM_007192
439,-17.298738428057543,CAB39,NM_001130849
440,-17.29960899623766,CLPTM1,NM_001294
441,-17.304334413561666,MRPS34,NM_001300900
442,-17.304334413561666,MRPL23,NM_021134
443,-17.3055356149073,TRNAU1AP,NM_017846
444,-17.306604562096204,DEDD,NM_001330765
445,-17.306776044562543,ZNF764,NM_033410
446,-17.308388683889707,TOE1,NM_025077
447,-17.310830314890584,SEC24A,NM_021982
448,-17.313675267022816,ZNF316,NM_001278559
449,-17.31734499591178,PPP1R11,NM_021959
450,-17.319129117705277,PSMD7,NM_002811
451,-17.320189948044007,ROGDI,NM_024589
452,-17.321872034226992,RETREG2,NM_024293
453,-17.323725602876316,RELL1,NM_001085400
454,-17.324142182761534,NOLC1,NM_001284388
455,-17.325541763115954,FSCN1,NM_003088
456,-17.33024028389751,CAMK1D,NM_153498
457,-17.333093352879917,FRG1,NM_004477
458,-17.333706491873997,RCCD1,NM_033544
459,-17.334775439062902,GUSB,NM_000181
460,-17.34022117289519,PTDSS1,NM_014754
461,-17.341290120084093,VIM,NM_003380
462,-17.343074241877595,ANAPC5,NM_016237
463,-17.34434489007905,NSF,NM_006178
464,-17.35371264008265,FAM208A,NM_001112736
465,-17.355896841897493,STRN,NM_003162
466,-17.36163319840852,PPRC1,NM_015062
467,-17.36386501154667,MAN1A1,NM_005907
468,-17.365547097729653,WDR91,NM_014149
469,-17.365547097729653,NUP93,NM_001242795
470,-17.365547097729653,EFHD2,NM_024329
471,-17.367229183912638,BCCIP,NM_078469
472,-17.370001448079037,DDRGK1,NM_023935
473,-17.377969617728212,DNAAF5,NM_017802
474,-17.382668138509768,MRM3,NM_018146
475,-17.383896236397852,PNPT1,NM_033109
476,-17.392681065953585,NUDT15,NM_018283
477,-17.39394657225135,TIMM13,NM_012458
478,-17.39923315538446,ARFGEF2,NM_006420
479,-17.40458497045641,ULK1,NM_003565
480,-17.407201325033636,PIH1D1,NM_017916
481,-17.410282991571044,ARPC5L,NM_030978
482,-17.410282991571048,EVI5L,NM_145245
483,-17.41189563089821,APLP2,NM_001642
484,-17.417582294052657,FEM1B,NM_015322
485,-17.419852442587196,PLIN3,NM_005817
486,-17.42211744921805,EIF2AK4,NM_001013703
487,-17.422705511569603,PRDX6,NM_004905
488,-17.422934109124604,SRM,NM_003132
489,-17.434539969216605,RPL10,NM_001303625
490,-17.437384921348837,PPM1D,NM_003620
491,-17.438453868537742,PYGL,NM_002863
492,-17.452889107884804,CAVIN1,NM_012232
493,-17.455159256419343,ERP29,NM_006817
494,-17.45800420855157,ABR,NM_001322841
495,-17.459073155740477,UCK2,NM_012474
496,-17.467825946850073,SLC25A20,NM_000387
497,-17.47090761338748,PRDM15,NM_001282934
498,-17.47090761338748,DNAJC15,NM_013238
499,-17.47090761338748,CCT3,NM_005998
500,-17.474340627871268,ANKRD13C,NM_030816
501,-17.479275863057996,SSU72,NM_014188
502,-17.480477064403633,COMMD1,NM_152516
503,-17.4811459315712,PPP4R3A,NM_001284280
504,-17.483330133386037,RPS4Y1,NM_001008
505,-17.484390963724767,CBL,NM_005188
506,-17.48624453237409,SOS2,NM_006939
507,-17.48892611889016,CAMK2G,NM_172171
508,-17.4893261989115,CLASP2,NM_015097
509,-17.48984481440723,AAR2,NM_015511
510,-17.496225421371772,BTAF1,NM_003972
511,-17.50157723644372,KIF21A,NM_001173464
512,-17.502511504837962,EHBP1L1,NM_001099409
513,-17.506965855187342,TAF6L,NM_006473
514,-17.509230861818196,NDUFA10,NM_004544
515,-17.51043206316383,MAPK3,NM_002746
516,-17.511501010352735,DECR2,NM_020664
517,-17.51516262239152,CARD9,NM_052813
518,-17.517497075878197,MEN1,NM_130803
519,-17.519697777556914,TFE3,NM_006521
520,-17.519697777556914,CHEK2,NM_001005735
521,-17.519697777556914,BBC3,NM_014417
522,-17.524396298338466,WDR83,NM_001099737
523,-17.52546524552737,NACC1,NM_052876
524,-17.526666446873005,TGM2,NM_004613
525,-17.526666446873005,SAFB2,NM_014649
526,-17.526997080038523,LAGE3,NM_006014
527,-17.52806602722743,UQCR11,NM_006830
528,-17.528450568666507,RETREG3,NM_178126
529,-17.529748113410413,KMT5C,NM_032701
530,-17.529748113410413,ANKZF1,NM_018089
531,-17.52985014902093,RCE1,NM_005133
532,-17.536262794431607,CDYL,NM_004824
533,-17.537299703174376,DNAJB11,NM_016306
534,-17.54073271765816,POFUT2,NM_015227
535,-17.544268372490468,TYK2,NM_003331
536,-17.54518706800754,ACAT1,NM_000019
537,-17.54559850598907,ARPC1B,NM_005720
538,-17.547280592172054,RB1,NM_000321
539,-17.549069855869245,RLF,NM_012421
540,-17.55338383521172,D2HGDH,NM_152783
541,-17.554837323839703,ATP7B,NM_000053
542,-17.556465501749127,HERPUD1,NM_014685
543,-17.56254806430284,TRAPPC6A,NM_024108
544,-17.56611575758129,ZER1,NM_006336
545,-17.568487941726346,BET1L,NM_016526
546,-17.56896070971352,PIP4K2B,NM_003559
547,-17.57034151037567,PTAR1,NM_001099666
548,-17.5731864625079,APRT,NM_000485
549,-17.574868548690883,KMT2A,NM_001197104
550,-17.57805225083881,DCTPP1,NM_024096
551,-17.583824860712955,CENPT,NM_025082
552,-17.585608982506457,ZNF746,NM_001163474
553,-17.586906527250363,PNPLA2,NM_020376
554,-17.588690649043865,NUP153,NM_001278209
555,-17.588690649043865,DYRK1B,NM_004714
556,-17.59487469689954,NAA15,NM_057175
557,-17.59520533006506,RBM33,NM_053043
558,-17.59665881869304,TMEM245,NM_032012
559,-17.59744344015346,MRPL38,NM_032478
560,-17.598671538041543,KLF16,NM_031918
561,-17.598843020507882,PGS1,NM_024419
562,-17.59932904724892,PCNA,NM_002592
563,-17.600044221853516,PI4KA,NM_058004
564,-17.601357339474596,SPINT2,NM_021102
565,-17.60258543736268,EXOC5,NM_006544
566,-17.60703978771206,MCPH1,NM_001322042
567,-17.6093099362466,RAB28,NM_004249
568,-17.6093099362466,NRBP1,NM_001321357
569,-17.611094058040102,EIF3J,NM_003758
570,-17.61540803738258,PTPN23,NM_015466
571,-17.62505829321474,FHOD1,NM_001318202
572,-17.63034487634785,CHAF1A,NM_005483
573,-17.633426542885257,SLC25A44,NM_001286184
574,-17.633426542885257,MBNL3,NM_001170704
575,-17.633426542885257,BUD13,NM_032725
576,-17.635210664678755,AKAP12,NM_005100
577,-17.63521066467876,ARHGAP4,NM_001164741
578,-17.636027324585314,PCBP1,NM_006196
579,-17.64139471253443,MEX3C,NM_016626
580,-17.64259077197638,TMEM259,NM_001033026
581,-17.643407431882935,CLPTM1L,NM_030782
582,-17.644780115694907,ABCD4,NM_020325
583,-17.6493152708603,RAB21,NM_014999
584,-17.65044554805485,AKAP7,NM_016377
585,-17.663210059179114,C16orf58,NM_022744
586,-17.66605177020133,CDC25B,NM_021873
587,-17.668566089168046,ARL2,NM_001667
588,-17.67017872849521,TUBGCP3,NM_006322
589,-17.671578308849632,ATP6V1F,NM_001198909
590,-17.673431877498956,MPST,NM_001130517
591,-17.673431877498956,CCNB1,NM_031966
592,-17.675221141196143,TMEM87A,NM_015497
593,-17.676032659199013,HNRNPDL,NM_031372
594,-17.680363138405365,ARPC4,NM_005718
595,-17.68221670705469,PPP4R3B,NM_001122964
596,-17.68221670705469,C1orf35,NM_024319
597,-17.68221670705469,ARRB2,NM_001257328
598,-17.68918537637078,ZDHHC12,NM_001318015
599,-17.68976829681865,NKAP,NM_024528
600,-17.690969498164282,AATF,NM_012138
601,-17.692197596052367,RAB11FIP4,NM_032932
602,-17.694639227053244,COCH,NM_001347720
603,-17.696896116833923,NEK2,NM_002497
604,-17.70143127199931,BRF1,NM_001519
