,logLikelihood,Gene,AccNum
290,-17.455799368403763,EIF2AK4,NM_001013703
291,-17.456178694218146,TMEM223,NM_001080501
292,-17.456509350306522,KIAA1522,NM_020888
293,-17.465653755945656,MIEN1,NM_001330206
294,-17.466511867114992,EGR1,NM_001964
295,-17.467583681953197,TMX4,NM_021156
296,-17.467685175014687,RPRD2,NM_015203
297,-17.470764567677296,SLC43A1,NM_003627
298,-17.479681973356254,MRPS34,NM_001300900
299,-17.482362193833115,TSR1,NM_018128
300,-17.487735032116543,NBEAL2,NM_015175
301,-17.491400114671737,SIRT2,NM_012237
302,-17.492477986795592,PIP4K2A,NM_005028
303,-17.494426250210854,FAM76A,NM_001143912
304,-17.498448021919852,FERMT3,NM_178443
305,-17.501022460447402,PLCG1,NM_002660
306,-17.50159884832647,TSPO,NM_001256530
307,-17.502579325641737,FBXO9,NM_033480
308,-17.508430470397496,SUMO2,NM_006937
309,-17.512126884024923,LSM14A,NM_001114093
310,-17.512761241671107,DOCK7,NM_001330614
311,-17.51453613662809,MORN1,NM_024848
312,-17.51586306964823,SEC63,NM_007214
313,-17.518547687431166,RETREG3,NM_178126
314,-17.518839902021288,HIST1H2BO,NM_003527
315,-17.51955265196663,MFHAS1,NM_004225
316,-17.521183600268976,NOC4L,NM_024078
317,-17.52203012467903,BRD8,NM_139199
318,-17.52271709896635,CAMK1D,NM_153498
319,-17.523111049404484,CDK10,NM_052988
320,-17.528815057860008,PACS1,NM_018026
321,-17.530748656784464,SAE1,NM_005500
322,-17.531870738332863,RBM33,NM_053043
323,-17.537049894748932,NDUFV3,NM_021075
324,-17.543850928314757,PIH1D1,NM_017916
325,-17.543895134417575,GTF3C5,NM_001122823
326,-17.546955774691487,PPP1R21,NM_001135629
327,-17.547810079436836,MTG2,NM_015666
328,-17.547831753331398,FTH1,NM_002032
329,-17.554154219070885,SSU72,NM_014188
330,-17.555490838026202,ISOC1,NM_016048
331,-17.55804293851199,CST3,NM_001288614
332,-17.560398576463424,PPP2CB,NM_001009552
333,-17.561208645697764,SORT1,NM_002959
334,-17.56145946558201,C1orf52,NM_198077
335,-17.56176369354028,IRAK3,NM_007199
336,-17.562933152727993,MTA1,NM_004689
337,-17.568006392846694,NSF,NM_006178
338,-17.569598374777964,CCDC107,NM_174923
339,-17.574068001834792,MARK2,NM_001039469
340,-17.5774768023038,DNAJA2,NM_005880
341,-17.57821672114415,MRPS30,NM_016640
342,-17.579657030848033,MED10,NM_032286
343,-17.57989227993602,USP25,NM_001283041
344,-17.583519157082502,FHOD1,NM_001318202
345,-17.58378835094702,KDM5C,NM_004187
346,-17.58384333554373,EVI5L,NM_145245
347,-17.586528060843975,SUSD1,NM_001282640
348,-17.586607007376028,DUSP3,NM_004090
349,-17.587324150176546,GOPC,NM_020399
350,-17.58832680268851,PTPN23,NM_015466
351,-17.59285047976677,PSAT1,NM_058179
352,-17.595649777106097,TYMS,NM_001071
353,-17.598660392407776,BIRC5,NM_001012271
354,-17.599421642185973,GATAD1,NM_021167
355,-17.59984924575833,PFN1,NM_005022
356,-17.602181157499647,VPS41,NM_014396
357,-17.6029975477869,COMMD1,NM_152516
358,-17.603510922257268,TINF2,NM_012461
359,-17.60721028202535,NHLRC2,NM_198514
360,-17.609082683578773,RANBP9,NM_005493
361,-17.610096027439063,YIPF6,NM_173834
362,-17.613735489365546,SDC4,NM_002999
363,-17.618102903811337,SEC62,NM_003262
364,-17.619124948649134,NF1,NM_001042492
365,-17.621675410753603,BCR,NM_004327
366,-17.623301552863825,NUP153,NM_001278209
367,-17.627098865441262,ARID1A,NM_006015
368,-17.6293530779961,URI1,NM_003796
369,-17.642505552268503,MED27,NM_004269
370,-17.64395887078847,ASL,NM_001024943
371,-17.645108079682615,SLC4A7,NM_001321103
372,-17.645197021109283,SON,NM_138927
373,-17.6459518021979,PLEKHM2,NM_015164
374,-17.64916558082487,ATMIN,NM_015251
375,-17.650350369350434,NUDC,NM_006600
376,-17.652741476082724,MPST,NM_001130517
377,-17.65341058159099,CDV3,NM_001134422
378,-17.65422203562469,TRPC4AP,NM_015638
379,-17.66045364882946,HGSNAT,NM_152419
380,-17.66146315966076,CDKN1C,NM_000076
381,-17.66185278406656,OXSR1,NM_005109
382,-17.663168821614498,YARS,NM_003680
383,-17.66432248852412,AGPS,NM_003659
384,-17.667332273467892,METAP1,NM_015143
385,-17.67056490092548,DTD1,NM_001318043
386,-17.6780437523616,DNAJA3,NM_005147
387,-17.686139877781695,PGGT1B,NM_005023
388,-17.69446313017575,CDYL,NM_004824
389,-17.69516337367706,RAB1B,NM_030981
390,-17.695237774559263,CD81,NM_004356
391,-17.69689311837997,PFDN1,NM_002622
392,-17.69703568620343,ARL6IP4,NM_001278380
393,-17.701151215973766,KAT2A,NM_021078
394,-17.70208588085353,SMARCD1,NM_003076
395,-17.70308706378271,DHCR24,NM_014762
396,-17.704283426416307,RBBP4,NM_005610
397,-17.709210759460746,ST7L,NM_017744
398,-17.711846799312635,TSPAN4,NM_001025237
399,-17.71216218804908,WRNIP1,NM_020135
400,-17.712249377666303,CD55,NM_001114752
401,-17.718346276411218,RNF187,NM_001010858
402,-17.71906294486863,MAP7,NM_003980
403,-17.72121077392827,SEC24B,NM_001300813
404,-17.724221129398146,DNAAF5,NM_017802
405,-17.724941946482645,TTC38,NM_017931
406,-17.729257221567604,RMI2,NM_152308
407,-17.73121947256472,RNF114,NM_018683
408,-17.73162004844222,ZNF768,NM_024671
409,-17.739797044134942,FXR2,NM_004860
410,-17.74499010861995,AKAP7,NM_016377
411,-17.74623939679608,FEM1B,NM_015322
412,-17.75029755174229,TRABD,NM_001320487
413,-17.753757398799358,TP53RK,NM_033550
414,-17.756037533799976,SOS1,NM_005633
415,-17.763449520515934,SET,NM_003011
416,-17.76617380262425,HNRNPDL,NM_031372
417,-17.7675838889776,CLN6,NM_017882
418,-17.76836367595857,FAM173A,NM_023933
419,-17.77075681513368,PATZ1,NM_014323
420,-17.771779375312647,TTLL12,NM_015140
421,-17.774553302195372,TCEA1,NM_006756
422,-17.77597164975753,FAM8A1,NM_016255
423,-17.776510441472805,CTNNAL1,NM_001286974
424,-17.77696852127414,DMAP1,NM_019100
425,-17.778927762160524,LRRC41,NM_006369
426,-17.778927762160524,CCDC43,NM_144609
427,-17.783931603573002,CREG1,NM_003851
428,-17.78415681515507,MTA2,NM_004739
429,-17.785873616003332,IQGAP1,NM_003870
430,-17.787347736038893,DPYSL2,NM_001197293
431,-17.79079308402615,SNX18,NM_001145427
432,-17.791812218422198,PPM1D,NM_003620
433,-17.793746672543726,BSPRY,NM_001317943
434,-17.793814670706652,BRCC3,NM_024332
435,-17.793884618345068,ATP6V0B,NM_001294333
436,-17.796294535151873,SOS2,NM_006939
437,-17.800026403893643,GGH,NM_003878
438,-17.800821089692295,UFL1,NM_015323
439,-17.801644156047058,NT5DC1,NM_152729
440,-17.801722508894077,HNRNPL,NM_001533
441,-17.802985099056087,CBL,NM_005188
442,-17.80500737186843,PPP1CA,NM_001008709
443,-17.805551997974387,AP3D1,NM_001261826
444,-17.806717826033246,NIPSNAP2,NM_001483
445,-17.80773215339339,RAB40C,NM_001172663
446,-17.80857052691081,TUBGCP3,NM_006322
447,-17.809834275503025,KLHL42,NM_020782
448,-17.810675878358648,EIPR1,NM_001330530
449,-17.81496515755579,YWHAQ,NM_006826
450,-17.81707142428168,SUMO3,NM_001286416
451,-17.817629887915537,CCDC22,NM_014008
452,-17.82007245920875,EXOSC6,NM_058219
453,-17.821704382688544,MDM1,NM_001205029
454,-17.825384431965244,EXOSC5,NM_020158
455,-17.82594649609974,GRK2,NM_001619
456,-17.82651265320608,APPL1,NM_012096
457,-17.8271983618568,FOXO3,NM_001455
458,-17.82994271296052,RCAN1,NM_004414
459,-17.833302465677942,PDHB,NM_000925
460,-17.84075463477899,ACAP3,NM_030649
461,-17.84083323172223,HDAC10,NM_032019
462,-17.841463378404786,SURF1,NM_003172
463,-17.842650844047917,EIF3J,NM_003758
464,-17.842716075618167,PHF2,NM_005392
465,-17.842930837517148,PSMD2,NM_002808
466,-17.843147705705753,UBQLN1,NM_013438
467,-17.845946919268574,C19orf24,NM_017914
468,-17.84595202488794,HARS,NM_002109
469,-17.846545912596074,GATD1,NM_001318821
470,-17.847549828902228,NACC1,NM_052876
471,-17.849891825358313,TMEM131L,NM_001131007
472,-17.85023575732426,PFDN2,NM_012394
473,-17.85092685436847,PPIL4,NM_139126
474,-17.851861303361105,RNPEP,NM_020216
475,-17.853864954032204,C11orf68,NM_001135635
476,-17.853975793636646,DNM2,NM_001005361
477,-17.854660309335454,DNAJC1,NM_022365
478,-17.855754391787222,TYW5,NM_001039693
479,-17.85595182805658,STT3B,NM_178862
480,-17.856297059000816,ARMC5,NM_024742
481,-17.856340607525844,FRG1,NM_004477
482,-17.85814099343909,PDLIM1,NM_020992
483,-17.858659853887815,BRF1,NM_001519
484,-17.860431346152772,ACADM,NM_001286043
485,-17.860860620586013,MTMR1,NM_001353990
486,-17.86231254632832,PIP5K1C,NM_012398
487,-17.871696434388426,CNNM3,NM_017623
488,-17.873509435909288,SKI,NM_003036
489,-17.873672717705997,SLC35D1,NM_015139
490,-17.876835844291588,GIGYF1,NM_022574
491,-17.877304366915226,SLC2A4RG,NM_020062
492,-17.878997274163357,TSEN54,NM_207346
493,-17.88010306141725,SAFB2,NM_014649
494,-17.881391403157046,MYO1G,NM_033054
495,-17.884757541104694,HSPA1B,NM_005346
496,-17.88782830484921,PSMG4,NM_001128592
497,-17.888257588227734,TAB1,NM_006116
498,-17.88886851151137,PPM1G,NM_177983
499,-17.88996025317668,BTAF1,NM_003972
500,-17.89292491626925,FNTA,NM_002027
501,-17.89425802595175,ARRB2,NM_001257328
502,-17.89457670908351,WASHC4,NM_001293640
503,-17.89479040113458,EXOC5,NM_006544
504,-17.900538562182362,ENDOD1,NM_015036
505,-17.90227394083238,C1orf198,NM_001136494
506,-17.90359349237639,RRS1,NM_015169
507,-17.906882610094133,MEN1,NM_130803
508,-17.908861280824553,TMEM222,NM_032125
509,-17.908928316997986,C1orf43,NM_001098616
510,-17.90988007545191,GNAI3,NM_006496
511,-17.914123723248657,RIC8A,NM_021932
512,-17.916567996339918,CRTC3,NM_022769
513,-17.921069597963882,CARMIL1,NM_017640
514,-17.921073059574457,TIMM13,NM_012458
515,-17.921597288682218,TAOK2,NM_016151
516,-17.923848568052957,SLC25A10,NM_001270888
517,-17.924674356445554,COPS5,NM_006837
518,-17.926063506497865,POLE3,NM_017443
519,-17.92626259824757,DOCK10,NM_014689
520,-17.9266743110263,SLC35A1,NM_006416
521,-17.92899550723017,GDF15,NM_004864
522,-17.930390119529857,ARPC4,NM_005718
523,-17.930855505086807,RTN3,NM_001265589
524,-17.930935753127162,AP2A1,NM_014203
525,-17.931791035596547,TPGS2,NM_015476
526,-17.932654837969498,SUMF1,NM_182760
527,-17.934418956015858,REEP5,NM_005669
528,-17.937542451112634,AZU1,NM_001700
529,-17.93788012443798,SYMPK,NM_004819
530,-17.939895228160992,ABCC1,NM_004996
531,-17.944229926153305,ARHGAP17,NM_001006634
532,-17.944469493035886,USP48,NM_032236
533,-17.949992164429844,SDHB,NM_003000
534,-17.951239948368272,MSRB2,NM_012228
535,-17.951458395846583,IGFBP7,NM_001553
536,-17.95470260483609,TSG101,NM_006292
537,-17.95471475385035,PPP1CB,NM_002709
538,-17.956366012615568,PIK3AP1,NM_152309
539,-17.95659401805951,PMVK,NM_006556
540,-17.96028956309579,NEK9,NM_001329237
541,-17.9626898645762,FAM50B,NM_012135
542,-17.967586584674173,REL,NM_002908
543,-17.967666044820877,LHPP,NM_022126
544,-17.967774785246327,HIGD2A,NM_138820
545,-17.96781972451687,TMEM43,NM_024334
546,-17.968344904479704,RPLP0,NM_053275
547,-17.968425064630054,CCNF,NM_001761
548,-17.969927540420045,FAF2,NM_014613
549,-17.971102455811437,METAP2,NM_006838
550,-17.971368067710365,DOT1L,NM_032482
551,-17.971570862763933,DNTTIP1,NM_052951
552,-17.973518094491876,NUP214,NM_005085
553,-17.97356890162608,TMEM8A,NM_021259
554,-17.973680459840686,APRT,NM_000485
555,-17.980987929653864,CDC42BPB,NM_006035
556,-17.985305160425646,PON2,NM_000305
557,-17.99099660767019,HSPA4,NM_002154
558,-17.995005020774165,NGLY1,NM_018297
559,-17.99528310801527,FAM193B,NM_001190946
560,-17.99622175565446,TWF2,NM_007284
561,-18.002059113443345,UQCR11,NM_006830
562,-18.003407369496117,MCCC2,NM_022132
563,-18.003496005403527,SMG6,NM_017575
564,-18.00631671647851,HES6,NM_018645
565,-18.009886504235165,APLF,NM_173545
566,-18.01139268871527,EIF2S2,NM_003908
567,-18.01155366935984,FAM83D,NM_030919
568,-18.01173415443172,ALG11,NM_001004127
569,-18.01317332912607,MED9,NM_018019
570,-18.015402815121277,DYNC1H1,NM_001376
571,-18.015855819007704,SLC39A8,NM_001135147
572,-18.01680365327752,CEBPZ,NM_005760
573,-18.018366775164125,C19orf66,NM_018381
574,-18.020667656458556,MRPL38,NM_032478
575,-18.021304025339276,DHX35,NM_021931
576,-18.022325084488347,CWC25,NM_017748
577,-18.022457453618472,UQCC2,NM_032340
578,-18.024833231056217,TIMM22,NM_013337
579,-18.02580337656632,TUBGCP5,NM_001354375
580,-18.03073611915258,ENDOG,NM_004435
581,-18.03238596388887,CAPRIN1,NM_005898
582,-18.034849534558006,ERICH1,NM_001303100
583,-18.03617184299452,VKORC1L1,NM_173517
584,-18.03658702417952,HSPB1,NM_001540
585,-18.038202493582904,FAM89A,NM_198552
586,-18.039842149930596,STK25,NM_001271977
587,-18.04056856766385,ADPRHL2,NM_017825
588,-18.041391615466377,CRY1,NM_004075
589,-18.041871875343695,TBL3,NM_006453
590,-18.042701316617205,CCDC84,NM_198489
591,-18.043263533648613,SLC30A5,NM_022902
592,-18.043644261905836,EXOSC3,NM_016042
593,-18.043908214246493,RCC2,NM_018715
594,-18.044035512573764,TAF5,NM_006951
595,-18.044343418304717,ARPC5L,NM_030978
596,-18.04466777125972,KHDC4,NM_014949
597,-18.047559134533035,DHX33,NM_020162
598,-18.04975094367489,NUDT16,NM_152395
599,-18.054604569284987,NECTIN2,NM_001042724
600,-18.055173934489247,DHX16,NM_003587
601,-18.0552096076631,ZNF653,NM_138783
602,-18.0581545117012,FANCG,NM_004629
603,-18.058878398825758,FAM104A,NM_001098832
604,-18.06187833781118,BRI3,NM_015379
605,-18.062246094538832,SREBF1,NM_001005291
