GeneName	AccNum	Chrom	mRNALength	ORFLength	fpUTR_length	tpUTR_length	sumIntronLengths
Plekhg5	NM_001285999	chr4	3856	3222	69	565	14830
Syt4	NM_009308	chr18	3901	1278	248	2375	5707
Syt5	NM_016908	chr7	1750	1161	256	333	5053
Syt6	NM_001276681	chr3	4395	1281	331	2783	54659
Syt7	NM_173068	chr19	6834	1704	393	4737	57258
Prr3	NM_001282024	chr17	2031	432	441	1158	4898
Nek5	NM_177898	chr8	2404	1845	89	470	49034
Tk1	NM_009387	chr11	1369	702	235	432	9127
Hccs	NM_001331049	chrX	2550	819	438	1293	6292
Tom1	NM_001136259	chr8	2358	1551	90	717	34078
BC024139	NM_001142968	chr15	2639	2319	92	228	4400
Cnppd1	NM_026977	chr1	2738	1224	330	1184	4416
Aqp11	NM_175105	chr7	1322	816	260	246	10547
Polr2h	NM_145632	chr16	787	453	96	238	3653
1810010H24Rik	NM_001163473	chr11	1099	339	93	667	1121
Pspn	NM_008954	chr17	705	471	90	144	88
Pmvk	NM_026784	chr3	1190	579	252	359	8702
Slc25a18	NM_001081048	chr6	1367	963	65	339	18848
Otop3	NM_027132	chr11	2422	1791	150	481	9771
Sept1	NM_017461	chr7	1453	1101	36	316	2551
Otop2	NM_172801	chr11	2335	1692	325	318	22806
Tas2r120	NM_207023	chr6	888	888	0	0	0
Dag1	NM_010017	chr9	5591	2682	511	2398	53364
Myadm	NM_001093764	chr7	3005	963	379	1663	7307
Krt10	NM_010660	chr11	2093	1686	32	375	2017
Slc25a15	NM_181325	chr8	3455	906	242	2307	19617
Exosc10	NM_016699	chr4	2791	2664	41	86	21183
Cebpb	NM_001287738	chr2	1518	828	170	520	0
Cebpa	NM_007678	chr7	2640	1080	126	1434	0
Slc25a14	NM_001290703	chrX	1866	873	619	374	36855
Acvr1	NM_001110204	chr2	3298	1530	667	1101	117093
Scarf1	NM_001004157	chr11	2884	2463	37	384	10156
Cebpe	NM_207131	chr14	1238	846	216	176	574
Cebpd	NM_007679	chr16	2260	807	39	1414	0
Erich3	NM_175176	chr3	2009	1554	186	269	35871
Erich2	NM_025744	chr2	1749	1392	284	73	30317
Car2	NM_009801	chr3	1790	783	327	680	12555
Rgs13	NM_153171	chr1	1497	477	186	834	37209
Erich1	NM_001034862	chr8	1579	999	65	515	61184
Ep400	NM_029337	chr5	10798	9108	261	1429	95547
Car3	NM_007606	chr3	1529	783	34	712	7307
Cebpz	NM_001024806	chr17	4077	3159	40	878	13991
Zfp712	NM_001166218	chr13	3970	2118	102	1750	18607
Zfp710	NM_001146000	chr7	4547	1938	201	2408	63391
Car1	NM_009799	chr3	1196	786	88	322	40956
Rbm8a	NM_001102407	chr3	2616	525	34	2057	1248
Zfp715	NM_027264	chr7	4190	2661	178	1351	12549
Car6	NM_009802	chr4	1369	954	26	389	12751
Mllt6	NM_139311	chr11	7271	3240	160	3871	14776
Zfp719	NM_172482	chr7	4993	2208	272	2513	9132
Mllt1	NM_022328	chr17	3609	1644	114	1851	39169
Mllt3	NM_027326	chr4	6112	1710	312	4090	257371
Rgs10	NM_026418	chr7	875	546	58	271	43673
Pramef6	NM_001085414	chr4	1487	1410	77	0	4657
Krt6b	NM_010669	chr15	2237	1665	66	506	2030
Rtf1	NM_030112	chr2	4664	2148	0	2516	55676
Krt6a	NM_008476	chr15	2258	1662	57	539	2120
Colq	NM_009937	chr14	2835	1374	135	1326	51465
Pramef8	NM_172877	chr4	3882	1443	757	1682	4780
Rasl10a	NM_145216	chr11	1108	612	178	318	1148
Gm4861	NM_177665	chr3	957	321	158	478	1621
Nosip	NM_025533	chr7	2134	906	108	1120	13941
Btg4	NM_019493	chr9	1534	753	212	569	2389
Btg3	NM_009770	chr16	1414	759	216	439	15537
Btg2	NM_007570	chr1	3083	477	102	2504	1208
Snrpd1	NM_009226	chr18	837	360	117	360	9598
Smok3a	NM_001168602	chr5	2722	1515	438	769	10662
Smok3c	NM_001310703	chr5	2331	1515	459	357	11014
2210016L21Rik	NM_028211	chr5	1320	771	6	543	5019
Uprt	NM_001081189	chrX	1112	933	179	0	22369
Zswim4	NM_172503	chr8	4348	3306	38	1004	21753
Zswim5	NM_001029912	chr4	5397	3567	58	1772	106307
Zswim6	NM_145456	chr13	5457	3624	15	1818	160105
Cyba	NM_007806	chr8	759	579	73	107	7411
Aig1	NM_001347362	chr10	1530	717	199	614	220373
Zswim1	NM_028028	chr2	2701	1368	663	670	1481
Zswim2	NM_027964	chr2	2062	1896	48	118	24086
Zswim3	NM_178375	chr2	2689	2088	163	438	14325
Clcnka	NM_024412	chr4	2409	2064	55	290	11687
Ndrg1	NM_008681	chr15	2890	1185	156	1549	37434
Ndrg2	NM_013864	chr14	2157	1116	172	869	6061
Gm933	NM_001256309	chr16	520	426	12	82	5039
Ttc30a2	NM_001081228	chr2	2008	1995	13	0	0
Mak16	NM_026453	chr8	1857	891	45	921	7400
Ttc30a1	NM_030188	chr2	2862	1995	230	637	0
Tex13a	NM_026469	chrX	1317	1134	153	30	99
Scube3	NM_001004366	chr17	2982	2982	0	0	25838
H13	NM_001159551	chr2	5402	1185	121	4096	33806
Maz	NM_010772	chr7	2371	1434	60	877	1972
Hnf1b	NM_009330	chr11	2843	1677	180	986	52206
Gga3	NM_173048	chr11	3681	2157	49	1475	15981
Hnf1a	NM_009327	chr5	3186	1887	218	1081	18897
Eef2kmt	NM_027446	chr16	2140	1008	20	1112	9662
Scrn2	NM_146027	chr11	1518	1278	104	136	2491
Sorbs1	NM_178362	chr19	6320	2817	494	3009	215377
Cdc20b	NM_001281487	chr13	1560	1560	0	0	54197
Sorbs2	NM_001205219	chr8	6094	3645	349	2100	314025
Gm21541	NM_001270360	chr4	867	402	72	393	264
Lax1	NM_001159649	chr1	2371	1224	398	749	8709
Smim17	NM_001134752	chr7	2190	330	164	1696	13722
Lingo3	NM_001013758	chr10	3437	1770	145	1522	7800
Lingo2	NM_001165999	chr4	4641	1821	1310	1510	1240240
Lingo1	NM_001311076	chr9	3426	1863	568	995	13759
Tbx3	NM_198052	chr5	4777	2166	979	1632	9086
Tshz2	NM_080455	chr2	5113	3093	94	1926	249746
Tshz3	NM_172298	chr7	5002	3246	132	1624	70338
Tshz1	NM_001081300	chr18	5814	3255	1159	1400	69122
Pifo	NM_001200028	chr3	956	741	41	174	16734
Inhba	NM_008380	chr13	6378	1275	623	4480	13381
Xiap	NM_001301639	chrX	6678	1491	507	4680	34589
Inhbc	NM_010565	chr10	1976	1059	152	765	12251
Inhbe	NM_008382	chr10	2211	1053	303	855	236
Syt1	NM_001252341	chr10	4820	1266	664	2890	508506
Iqsec3	NM_001033354	chr6	6845	3588	115	3142	93906
Bbof1	NM_028377	chr12	2190	1602	114	474	22523
Misp	NM_030218	chr10	2427	1947	128	352	7005
1700092M07Rik	NM_001177347	chr19	380	261	50	69	128
Syt2	NM_009307	chr1	3386	1269	381	1736	99351
Il17d	NM_145837	chr14	1222	618	78	526	17116
Lrif1	NM_001286685	chr3	3629	714	2187	728	11266
Il17f	NM_145856	chr1	1175	486	71	618	5947
Syt3	NM_016663	chr7	2498	1764	237	497	13407
Gpd1l	NM_175380	chr9	4393	1056	270	3067	30256
Il17a	NM_010552	chr1	1171	477	57	637	2421
Il17b	NM_019508	chr18	692	543	49	100	3911
Speer4d	NM_025759	chr5	1159	639	166	354	3607
Speer4e	NM_001122661	chr5	1239	768	69	402	3606
Topbp1	NM_176979	chr9	5111	4548	52	511	39990
Speer4a	NM_029376	chr5	1503	804	22	677	3733
Speer4b	NM_028561	chr5	1977	804	25	1148	3607
Speer4c	NM_001281511	chr5	1190	771	69	350	3577
Fam151b	NM_001163627	chr13	1383	840	79	464	33029
Arhgef28	NM_012026	chr13	6259	5103	104	1052	301312
Cma1	NM_010780	chr14	1090	783	104	203	2135
Srms	NM_011481	chr2	2547	1524	399	624	5062
Runx1t1	NM_001111027	chr4	7517	1815	534	5168	136242
Fam104a	NM_138598	chr11	2615	558	66	1991	20218
AI314180	NM_172381	chr4	5901	5523	228	150	106794
Arhgef25	NM_028027	chr10	2261	1857	89	315	5273
Clrn3	NM_178669	chr7	3315	681	151	2483	13884
Itm2b	NM_008410	chr14	1772	801	145	826	21268
Folh1	NM_016770	chr7	3047	2259	105	683	53842
Kcnc4	NM_145922	chr3	3013	1887	8	1118	17583
Porcn	NM_023638	chrX	1900	1386	184	330	10780
Btg1-ps2	NM_001034856	chrX	1194	486	560	148	3722
Tex9	NM_009359	chr9	4317	1164	7	3146	29588
Kcnc1	NM_008421	chr7	7788	1536	1210	5042	29098
Kcnc2	NM_001025581	chr10	6196	1920	64	4212	188986
Kcnc3	NM_001290682	chr7	5184	2277	0	2907	8682
Ralgps2	NM_001159965	chr1	6992	1773	221	4998	128469
Olfr196	NM_146779	chr16	930	930	0	0	0
Ralgps1	NM_175211	chr2	6308	1758	289	4261	231768
B3gntl1	NM_178664	chr11	2851	1074	119	1658	54093
Mkl1	NM_001082536	chr15	4366	2790	572	1004	174111
Mkl2	NM_153588	chr16	8295	3243	218	4834	50814
Akain1	NM_001145192	chr17	2296	210	200	1886	47612
Bmx	NM_009759	chrX	3005	1968	143	894	62347
4931429L15Rik	NM_183104	chr9	2037	1140	567	330	14589
Miip	NM_001025365	chr4	1813	1164	413	236	6129
Ctrb1	NM_025583	chr8	887	792	18	77	3614
Stk17b	NM_133810	chr1	3278	1119	183	1976	26426
Krt77	NM_001003667	chr15	1719	1719	0	0	8044
Olfr887	NM_146423	chr9	930	930	0	0	0
Lta4h	NM_008517	chr10	2066	1836	114	116	29435
Lmna	NM_001002011	chr3	3173	1998	249	926	19032
Psg22	NM_001004152	chr7	1871	1428	187	256	7288
Clec18a	NM_181549	chr8	1819	1359	67	393	10393
Mocs2	NM_001113374	chr13	1767	570	134	1063	9417
Zfp984	NM_001127189	chr4	2729	1644	310	775	53086
Ubqln3	NM_198623	chr7	2369	1977	110	282	281
Dbh	NM_138942	chr2	2282	1869	9	404	15416
Sorcs1	NM_021377	chr19	7240	3507	178	3555	523746
Sorcs2	NM_030889	chr5	5721	3480	94	2147	375238
Cmah	NM_001284519	chr13	9909	1734	635	7540	139977
Cfap65	NM_001039495	chr1	5718	5544	119	55	27802
Vwde	NM_001013757	chr6	3979	2781	102	1096	35377
Ubfd1	NM_138589	chr7	4831	1107	85	3639	10171
Scg2	NM_009129	chr1	2485	1854	149	482	2937
Olfr450	NM_146445	chr6	933	933	0	0	0
Olfr229	NM_146613	chr9	924	924	0	0	0
Mcl1	NM_008562	chr3	3487	996	136	2355	972
Gcm1	NM_008103	chr9	2034	1311	188	535	11633
Pttg1	NM_013917	chr11	1690	567	311	812	4044
Gcm2	NM_008104	chr13	2879	1515	34	1330	5683
Trim34a	NM_030684	chr7	2580	1458	336	786	15200
Trim34b	NM_001243916	chr7	1535	1458	77	0	5612
Ces2b	NM_198171	chr8	1895	1671	28	196	5114
Tssk6	NM_032004	chr8	1335	822	124	389	0
Tssk4	NM_001253889	chr14	1420	879	165	376	936
Tssk5	NM_183099	chr15	1514	1119	254	141	1467
Tssk2	NM_009436	chr16	1388	1077	98	213	0
Tssk3	NM_080442	chr4	1034	807	164	63	729
Tssk1	NM_009435	chr16	1451	1098	150	203	0
Gpr180	NM_021434	chr14	2877	1326	66	1485	24229
Gria3	NM_001281929	chrX	5206	2667	264	2275	272095
Gpr182	NM_007412	chr10	1694	1197	215	282	503
Cdk1	NM_007659	chr10	2860	894	103	1863	13418
Sdr9c7	NM_027301	chr10	2849	942	110	1797	10376
Gria4	NM_019691	chr9	5447	2709	479	2259	372895
Btbd35f14	NM_001145038	chrX	1701	1497	53	151	0
Btbd35f15	NM_001243015	chrX	1960	1497	85	378	0
Btbd35f16	NM_001243011	chrX	1960	1497	85	378	0
Supt6	NM_009297	chr11	6201	5181	186	834	32754
5530400C23Rik	NM_027784	chr6	647	522	35	90	2928
Sass6	NM_001289568	chr3	4376	1683	521	2172	31653
Btbd35f12	NM_001099333	chrX	1951	1497	85	369	0
L1cam	NM_008478	chrX	5288	3780	253	1255	21767
Slc27a5	NM_009512	chr7	2329	2070	130	129	7517
Slc27a4	NM_011989	chr2	4008	1932	287	1789	10835
4933412E24Rik	NM_027668	chr15	1753	1542	29	182	0
Slc27a6	NM_001081072	chr18	2598	1860	224	514	54032
Slc27a1	NM_011977	chr8	2795	1941	205	649	14987
Slc27a3	NM_001316688	chr3	2298	1617	557	124	2408
Slc27a2	NM_011978	chr2	2301	1863	131	307	32919
4930503B20Rik	NM_029144	chr3	1014	705	166	143	4045
Hmgxb3	NM_178277	chr18	5198	3861	474	863	40575
Hmgxb4	NM_001316753	chr8	4018	1458	615	1945	34311
Lrrk1	NM_146191	chr7	7454	6045	240	1169	122141
Lrrk2	NM_025730	chr15	8230	7584	57	589	134671
Olfr971	NM_146614	chr9	924	924	0	0	0
Cdhr1	NM_130878	chr14	4304	2580	168	1556	16159
Cdhr2	NM_001033364	chr13	4127	3927	118	82	31073
Cdhr3	NM_001024478	chr12	2953	2496	101	356	56127
Cdhr5	NM_001114322	chr7	2629	2496	68	65	5073
Zbtb48	NM_133879	chr4	2226	2046	132	48	5670
Tas1r2	NM_031873	chr4	3046	2532	31	483	13696
Slco6c1	NM_028942	chr1	2433	2121	129	183	66422
Dbn1	NM_001177371	chr13	3044	2121	128	795	11605
Vmn2r3	NM_001104614	chr3	2670	2664	6	0	25787
1700024P16Rik	NM_001285952	chr4	3214	2460	34	720	100194
Dazl	NM_010021	chr17	2964	897	211	1856	11264
Trim39	NM_024468	chr17	3085	1467	117	1501	10047
Als2cl	NM_001146060	chr9	5168	2859	275	2034	15041
Tcof1	NM_001198984	chr18	4629	4071	106	452	30580
Ush2a	NM_021408	chr1	15889	15582	196	111	686313
Pxt1	NM_153390	chr17	1015	156	143	716	7262
Trim33	NM_053170	chr3	8870	3423	586	4861	70608
Trim32	NM_053084	chr4	3196	1968	163	1065	8059
Trim31	NM_146077	chr17	2248	1524	224	500	9840
Trim37	NM_197987	chr11	5637	2886	399	2352	87975
Trim36	NM_178872	chr18	4546	2190	243	2113	42762
Trim35	NM_029979	chr14	3684	1551	45	2088	10716
Arl3	NM_019718	chr19	822	549	43	230	41155
Foxo3	NM_019740	chr10	2889	2019	325	545	88068
Olfr978	NM_147105	chr9	936	936	0	0	0
Foxo1	NM_019739	chr3	5552	1959	465	3128	76221
Dlat	NM_145614	chr9	4035	1929	314	1792	21113
Foxo6	NM_194060	chr4	2528	1680	9	839	17656
Foxo4	NM_018789	chrX	3162	1518	293	1351	3184
Thap12	NM_028410	chr7	3462	2277	27	1158	11237
Ifi27l2b	NM_145449	chr12	1093	852	64	177	5233
Ifi27l2a	NM_001281830	chr12	665	255	47	363	9143
Thap11	NM_021513	chr8	1848	918	258	672	0
Btaf1	NM_001080706	chr19	8509	5547	309	2653	79470
Vmn1r149	NM_001166840	chr7	924	924	0	0	0
Olfr193	NM_001011791	chr16	930	930	0	0	0
Dbnl	NM_001146308	chr11	2369	1311	77	981	10129
Krt36	NM_001174099	chr11	1665	1422	30	213	1949
Tmem88	NM_025915	chr11	1585	480	9	1096	134
Olfr523	NM_146518	chr7	954	954	0	0	0
Cdk20	NM_053180	chr13	1827	1041	43	743	5342
6430573F11Rik	NM_176952	chr8	1825	1344	56	425	21998
Vmn1r135	NM_001166747	chr7	924	924	0	0	0
Mst1r	NM_009074	chr9	4706	4137	256	313	8789
Supt3	NM_178652	chr17	1483	1125	258	100	340631
Olfr525	NM_146956	chr7	930	930	0	0	0
Olfr524	NM_001011814	chr7	957	957	0	0	0
Fam114a1	NM_026667	chr5	2949	1710	78	1161	68878
Gm7073	NM_001039240	chrX	1419	1008	300	111	18725
Fam114a2	NM_001168668	chr11	2608	1494	86	1028	33047
Mtfr1	NM_001253391	chr3	2994	987	296	1711	30495
Aldoa	NM_001177307	chr7	1588	1257	146	185	2357
Aldoc	NM_009657	chr11	2720	1092	204	1424	861
Aldob	NM_144903	chr4	2018	1095	123	800	11536
Vmn1r138	NM_001167169	chr7	921	921	0	0	0
Cox6c	NM_053071	chr15	503	231	135	137	5768
Clca2	NM_178697	chr3	3988	2829	142	1017	24856
Scgb1b2	NM_020563	chr7	419	282	16	121	879
Slc24a4	NM_172152	chr12	2092	1818	22	252	135239
Slc24a5	NM_175034	chr2	1951	1506	54	391	18600
Slc24a2	NM_172426	chr4	10592	2001	373	8218	236823
Slc24a3	NM_053195	chr2	3422	1788	56	1578	395907
Nup43	NM_145706	chr10	1290	1143	58	89	10093
Gm21677	NM_001270513	chrY	1580	1143	76	361	9642
Gabrb3	NM_008071	chr7	5567	1422	103	4042	232062
Nsfl1c	NM_198326	chr2	1486	1119	126	241	15643
Tmem80	NM_027797	chr7	1868	372	391	1105	7158
Lman1l	NM_199222	chr9	1737	1518	104	115	12005
Gm5591	NM_001013810	chr7	3441	2568	132	741	6614
Stx16	NM_172675	chr2	3736	981	7	2748	18985
Usp8	NM_001252580	chr2	4210	3276	226	708	47777
Sel1l3	NM_172710	chr5	4512	3414	146	952	101858
Emb	NM_010330	chr13	2622	993	276	1353	51221
Gpa33	NM_021610	chr1	2293	960	102	1231	33758
Sel1l2	NM_001033296	chr2	2219	2067	78	74	157634
Tppp	NM_182839	chr13	5090	657	95	4338	21245
Usp1	NM_001301414	chr4	3595	2355	503	737	8138
Usp2	NM_198092	chr9	3867	1860	241	1766	24740
Usp3	NM_144937	chr9	5578	1563	241	3774	72899
Usp4	NM_011678	chr9	3668	2889	87	692	41031
Usp5	NM_013700	chr6	3213	2577	89	547	11253
Ribc2	NM_026357	chr15	1652	1134	168	350	10819
Olfr1110	NM_146769	chr2	939	939	0	0	0
Olfr1111	NM_146593	chr2	940	939	0	1	0
Olfr1112	NM_146661	chr2	957	957	0	0	0
Olfr1113	NM_207565	chr2	981	981	0	0	0
Zfp691	NM_183140	chr4	2336	852	820	664	2003
Olfr1116	NM_001011734	chr2	924	924	0	0	0
Il1rap	NM_008364	chr16	4576	1713	183	2680	131468
Olfr1118	NM_207632	chr2	996	924	27	45	0
Samsn1	NM_023380	chr16	1845	1119	80	646	48628
Nr1d2	NM_011584	chr14	4640	1731	280	2629	30411
Eif2b1	NM_145371	chr5	2012	918	118	976	6906
Calr3	NM_028500	chr8	1670	1143	95	432	17926
Card6	NM_001163138	chr15	4531	3528	57	946	6564
Fars2	NM_024274	chr13	1896	1356	384	156	418057
Jcad	NM_001081963	chr18	6731	3963	159	2609	41210
Rpl38	NM_001048057	chr11	369	213	115	41	3420
Rpl39	NM_026055	chrX	434	156	95	183	2271
Rpl36	NM_018730	chr17	407	318	56	33	445
Mbl1	NM_010775	chr14	923	720	120	83	6581
Crxos	NM_001205274	chr7	2138	363	109	1666	2038
Rpl35	NM_025592	chr2	452	372	45	35	3099
Rpl32	NM_172086	chr6	504	408	51	45	2726
Car8	NM_007592	chr4	5722	876	87	4759	91827
Rpl30	NM_009083	chr15	575	348	180	47	2143
Rpl31	NM_001252218	chr1	1253	378	298	577	2807
Pla2g1b	NM_011107	chr5	552	441	21	90	7900
Cd302	NM_001290660	chr2	1350	687	364	299	31142
Vsx1	NM_054068	chr2	3566	1092	177	2297	4868
Maf	NM_001025577	chr8	3642	1113	31	2498	0
Med26	NM_027485	chr8	3039	1767	344	928	50713
Vsx2	NM_001301427	chr12	3261	1143	115	2003	22369
Ctf2	NM_198858	chr7	900	615	34	251	5757
Fam13c	NM_001143777	chr10	3383	1560	454	1369	114682
Fam13a	NM_153574	chr6	4293	2082	162	2049	86674
Bcas2	NM_026602	chr3	1413	678	62	673	6031
Bcas3	NM_138681	chr11	3656	2787	161	708	469239
Bcas1	NM_029815	chr2	3090	1902	105	1083	77765
Hacd1	NM_013935	chr2	1008	747	168	93	28197
Mettl8	NM_145524	chr2	2368	1167	248	953	88676
Hacd3	NM_021345	chr9	2733	1089	174	1470	32002
Hacd2	NM_023587	chr16	3603	765	60	2778	83152
Hacd4	NM_025760	chr4	2089	699	56	1334	23908
Mthfr	NM_001161798	chr4	6085	2088	23	3974	12289
Tpp1	NM_009906	chr7	3553	1689	48	1816	3867
Tpp2	NM_009418	chr1	4691	3789	95	807	64316
Rad50	NM_009012	chr11	5153	3939	264	950	52648
Krtap28-13	NM_027778	chr1	992	417	66	509	0
Sfmbt1	NM_001166532	chr14	7837	2592	372	4873	99270
Sfmbt2	NM_177386	chr2	7833	2829	321	4683	214985
Zzef1	NM_001045536	chr11	11150	8676	71	2403	119745
Olfr675	NM_001011848	chr7	942	942	0	0	0
Hist3h2ba	NM_030082	chr11	462	381	29	52	0
2010003K11Rik	NM_027237	chr19	1167	375	64	728	629
Cebpg	NM_009884	chr7	4702	453	287	3962	5443
Brf1	NM_028193	chr12	2755	2031	265	459	38005
Setx	NM_198033	chr2	10970	7941	683	2346	46510
Sgpp2	NM_001004173	chr1	3998	1065	73	2860	105943
Fuca2	NM_025799	chr10	5714	1386	140	4188	12294
Cracr2a	NM_001033464	chr6	1094	933	150	11	50870
Mlycd	NM_019966	chr8	2100	1479	54	567	14097
Krt79	NM_146063	chr15	2097	1596	110	391	8896
Hist4h4	NM_175652	chr6	439	312	52	75	0
F830016B08Rik	NM_001101475	chr18	3297	1251	127	1919	6340
Amy2b	NM_001190403	chr3	1413	1362	17	34	7659
Purb	NM_011221	chr11	8478	975	190	7313	0
Arx	NM_007492	chrX	2868	1695	221	952	8981
1700013G24Rik	NM_027063	chr4	1036	861	110	65	1130
Farsb	NM_011811	chr1	2274	1770	55	449	61879
Farsa	NM_025648	chr8	1829	1527	49	253	10443
Ldb1	NM_010697	chr19	2288	1128	650	510	4733
Uap1l1	NM_001033293	chr2	1690	1524	11	155	2445
Mettl1	NM_010792	chr10	887	807	47	33	2643
Ttbk2	NM_001024856	chr2	11152	3732	504	6916	106451
Purg	NM_001098233	chr8	1797	978	11	808	29348
Ccdc90b	NM_025515	chr7	1596	771	387	438	19550
Ncor2	NM_011424	chr5	8745	7407	324	1014	153317
Ncor1	NM_001252313	chr11	8852	7365	70	1417	113238
Krt78	NM_212487	chr15	3434	3207	63	164	4850
Lysmd3	NM_030257	chr13	3126	918	141	2067	10959
Unc5a	NM_153131	chr13	3974	2697	230	1047	52613
Ttc23l	NM_029430	chr15	1931	1377	18	536	52791
Olfr948	NM_001011756	chr9	966	966	0	0	0
Nkiras2	NM_028024	chr11	2013	576	68	1369	2635
Olfr945	NM_146506	chr9	960	960	0	0	0
Gkn1	NM_025466	chr6	1220	555	43	622	4043
Gkn2	NM_025467	chr6	777	555	31	191	5353
Gkn3	NM_026860	chr6	793	576	100	117	4824
Magohb	NM_001327860	chr6	966	309	417	240	7890
Nkiras1	NM_001316711	chr14	4853	489	553	3811	8012
BC049762	NM_177567	chr11	883	492	249	142	8418
Rab4a	NM_009003	chr8	1412	657	140	615	27884
Rbmxl1	NM_009033	chr8	1725	1167	281	277	1935
Ppme1	NM_028292	chr7	2361	1161	73	1127	42799
Rbmxl2	NM_029660	chr7	1472	1158	65	249	0
Unc5d	NM_153135	chr8	9220	2871	298	6051	563700
Pcolce	NM_008788	chr5	1539	1407	76	56	4759
Flna	NM_001290421	chrX	8369	5967	2073	329	14705
Flnb	NM_001081427	chr14	9099	7809	195	1095	124532
Flnc	NM_001081185	chr6	9166	8181	306	679	19570
Gltpd2	NM_146020	chr11	1203	966	9	228	325
Cep164	NM_001081373	chr9	5488	4002	174	1312	56205
4930524N10Rik	NM_001256259	chrX	919	702	101	116	3249
Prpmp5	NM_001024705	chr6	1284	891	14	379	1870
Dntt	NM_009345	chr19	2130	1593	164	373	28121
Cep162	NM_199316	chr9	5295	4212	330	753	58275
Adipor1	NM_001306069	chr1	3240	1128	420	1692	14447
Fgr	NM_010208	chr4	3342	1554	249	1539	24446
Med29	NM_026042	chr7	2162	600	27	1535	5282
Pudp	NM_026108	chr18	1044	705	39	300	0
Trpd52l3	NM_025741	chr19	2231	696	57	1478	0
Fam234b	NM_028982	chr6	4209	1875	78	2256	34045
Lrriq1	NM_001163559	chr10	5232	5022	51	159	167893
Fgg	NM_001317105	chr3	1890	1332	184	374	5104
Lrriq4	NM_026668	chr3	2387	1791	458	138	25538
Fga	NM_010196	chr3	3360	1674	62	1624	4105
Fgb	NM_181849	chr3	1705	1446	102	157	5913
Ythdc1	NM_001347375	chr5	3236	2187	298	751	29158
Vmn2r84	NM_001081448	chr10	2550	2550	0	0	5892
Tgm1	NM_001161715	chr14	2852	2448	210	194	10632
Vmn2r86	NM_001103365	chr10	2547	2547	0	0	7149
Vmn2r87	NM_001103366	chr10	2547	2547	0	0	23012
Vmn2r80	NM_001103368	chr10	2592	2592	0	0	43526
Mcm3ap	NM_019434	chr10	6383	5916	350	117	40504
Vmn2r82	NM_001101572	chr10	2598	2598	0	0	37578
Vmn2r83	NM_001104537	chr10	2595	2595	0	0	20602
Tinf2	NM_145705	chr14	1738	1245	236	257	999
Vmn2r88	NM_011686	chr14	2574	2574	0	0	5308
Vmn2r89	NM_009487	chr14	2942	1524	80	1338	6390
Mageb2	NM_031171	chrX	993	993	0	0	0
Mageb3	NM_008545	chr2	2322	993	873	456	0
Mageb1	NM_010759	chrX	1143	1143	0	0	0
Acsm1	NM_054094	chr7	2036	1722	82	232	42652
Qpct	NM_027455	chr17	2059	1089	360	610	36414
Mageb4	NM_001033492	chrX	2401	1671	235	495	3563
Mageb5	NM_028847	chrX	1251	1101	87	63	2118
Zkscan3	NM_001145778	chr13	2602	1662	145	795	13150
Ptcra	NM_011195	chr17	1283	621	98	564	6767
Egf	NM_010113	chr3	4755	3654	358	743	72991
Slc4a11	NM_001081162	chr2	3201	2589	286	326	10211
Slc4a10	NM_001242380	chr2	5532	3357	130	2045	274697
2300002M23Rik	NM_175148	chr17	1248	1050	69	129	213
