uc009dsm.2	NM_026988
uc008nya.2	NM_001252585
uc008dgd.2	NM_013933
uc008duo.2	NM_019936
uc007pcc.2	NM_027223
uc009jig.2	NM_007587
uc009mgh.1	NM_172396
uc009dgz.1	NM_133937
uc007kti.1	NM_025377
uc033hgi.1	NR_076393
uc007yyt.1	NM_025329
uc008tux.1	NM_026348
uc009scp.2	NM_026892
uc009nad.2	NM_029295
uc008xtw.1	
uc012dag.1	NM_001190324
uc007kjt.1	NM_018854
