AccNum,Efficiency
NM_001407,78
NM_005258,79
NM_019604,94
NM_001399,101
NM_130444,103
NM_016518,119
NM_152612,106
NM_001167940,103
NM_144577,72
NM_001321118,96
NM_152549,73
NM_001320816,115
NM_152775,84
NM_001282136,87
NM_001323903,115
NM_015210,77
NM_144699,109
NM_001256214,88
NM_000702,97
NM_001160233,121
NM_001001663,76
NM_001085429,115
NM_001142290,96
NM_030752,81
NM_005918,99
NM_012116,102
NM_182965,83
NM_001937,76
NM_001292025,102
NM_024040,76
NM_016488,84
NM_030627,85
NM_001288819,104
NM_014912,108
NM_001177382,NaN
NM_001159531,78
NM_001190462,NaN
NM_001145346,101
NM_018079,79
NM_000663,115
NM_001142579,45
NM_001005851,80
NM_015059,NaN
NM_004477,103
NM_001286820,99
NM_001303126,56
NM_001286174,80
NM_001190241,68
NM_014055,84
NM_052957,76
NM_001353568,93
NM_001143960,77
NM_001558,96
NM_016287,126
NM_007101,98
NM_001166692,NaN
NM_032815,111
NM_001354975,75
NM_145657,67
NM_015270,83
NM_032551,102
NM_182751,71
NM_003112,79
NM_000628,94
NM_001351985,121
NM_178326,81
NM_001321287,33
NM_001199241,73
NM_021248,81
NM_001281504,92
NM_005169,61
NM_003924,88
NM_144648,114
NM_006760,112
NM_000186,78
NM_133443,96
NM_000270,75
NM_001317335,129
NM_144651,75
NM_001710,89
NM_153445,NaN
NM_153444,NaN
NM_001195243,73
NM_001304732,90
NM_004380,115
NM_002687,124
NM_001034842,69
NM_003945,114
NM_145230,79
NM_002621,104
NM_016470,99
NM_015665,80
NM_021175,99
NM_001080507,NaN
NM_001322299,47
NM_001164442,82
NM_001040455,94
NM_004383,90
NM_004160,75
NM_015354,122
NM_001198812,112
NM_001319086,121
NM_017420,77
NM_175875,104
NM_007374,89
NM_018397,85
NM_018666,87
NM_001531,101
NM_016932,72
NM_005413,38
NM_152755,103
NM_005467,109
NM_014255,95
NM_001103176,59
NM_018055,114
NM_005659,129
NM_001358416,78
NM_152643,118
NM_018200,79
NM_006339,83
NM_001199286,94
NM_001271886,90
NM_018438,67
NM_004411,82
NM_001025300,40
NM_001104629,104
NM_001101337,98
NM_017445,87
NM_003898,117
NM_134442,90
NM_173801,116
NM_001025266,85
NM_031939,49
NM_001037666,69
NM_001321917,116
NM_001161344,70
NM_001017978,91
NM_033318,115
NM_145702,128
NM_001040709,81
NM_001145664,76
NM_173587,65
NM_213594,95
NM_198074,98
NM_000484,91
NM_022841,NaN
NM_001330195,87
NM_015080,113
NM_001135659,105
NM_134428,134
NM_001017964,83
NM_001010867,115
NM_001321057,101
NM_001354895,113
NM_199337,91
NM_002940,110
NM_003366,105
NM_001324136,81
NM_003399,97
NM_003365,112
NM_001005473,99
NM_000821,110
NM_173462,70
NM_017750,83
NM_001355194,74
NM_014205,73
NM_003198,85
NM_006559,100
NM_006558,89
NM_001350622,69
NM_017953,47
NM_000233,86
NM_012364,NaN
NM_001256854,NaN
NM_022489,79
NM_001195279,NaN
NM_001089591,96
NM_001113324,68
NM_178191,105
NM_022761,123
NM_025150,118
NM_001197293,111
NM_001197294,102
NM_001199080,73
NM_198699,85
NM_198692,112
NM_181688,114
NM_000597,94
NM_001013398,115
NM_020862,NaN
NM_003011,78
NM_001319193,120
NM_001553,66
NM_001552,96
NM_000599,87
NM_000104,99
NM_004623,84
NM_024514,NaN
NM_016951,73
NM_001011724,85
NM_001042376,113
NM_000165,87
NM_021954,98
NM_005161,76
NM_005266,88
NM_001031680,109
NM_005267,110
NM_004391,84
NM_001011700,69
NM_012374,NaN
NM_016604,112
NM_015852,76
NM_001331097,81
NM_018433,72
NM_001348281,101
NM_021115,71
NM_001352379,104
NM_001145303,64
NM_001042549,107
NM_001127198,112
NM_001160364,98
NM_015957,73
NM_138691,91
NM_080751,93
NM_001080532,80
NM_003931,88
NM_001318966,85
NM_003907,125
NM_152468,91
NM_020365,72
NM_001414,68
NM_004157,71
NM_002736,86
NM_032121,84
NM_006472,92
NM_003775,88
NM_001195432,109
NM_001320598,115
NM_014714,115
NM_001193341,74
NM_003544,NaN
NM_001286488,84
NM_014051,67
NM_022725,64
NM_001164000,40
NM_031924,95
NM_080860,85
NM_021922,103
NM_001013615,60
NM_001195528,94
NM_001098808,74
NM_001329851,88
NM_173076,109
NM_003030,77
NM_001007794,72
NM_001018113,95
NM_005666,82
NM_001350159,64
NM_013943,112
NM_001114086,88
NM_030948,83
NM_181303,81
NM_080672,90
NM_001100164,103
NM_001165252,98
NM_033032,NaN
NM_001123387,98
NM_001272077,84
NM_001242597,113
NM_001671,101
NM_080912,121
NM_018342,90
NM_018273,104
NM_000210,102
NM_032928,84
NM_018295,102
NM_006085,116
NM_001142930,85
NM_001005169,NaN
NM_024036,111
NM_145307,76
NM_175873,104
NM_001193489,70
NM_023016,90
NM_001105576,111
NM_005328,119
NM_001144064,141
NM_001242524,91
NM_014077,72
NM_001199280,83
NM_001316331,41
NM_020444,123
NM_005371,118
NM_001039112,91
NM_001329394,127
NM_001293083,91
NM_001202409,88
NM_001330640,111
NM_001282400,77
NM_152240,73
NM_144723,116
NM_019103,99
NM_024645,84
NM_017914,93
NM_152482,94
NM_001080416,109
NM_022138,101
NM_005126,70
NM_002466,82
NM_001098728,67
NM_001282506,99
NM_001349346,78
NM_001349809,76
NM_001291605,125
NM_001278284,50
NM_001269041,128
NM_001015072,104
NM_021089,80
NM_020643,69
NM_001079,64
NM_001039783,49
NM_003311,84
NM_001323606,74
NM_007346,81
NM_014805,93
NM_001253,75
NM_001358661,86
NM_001130963,97
NM_001316307,90
NM_018558,98
NM_018890,98
NM_016038,70
NM_005772,119
NM_014000,62
NM_001354928,82
NM_001030005,111
NM_006651,71
NM_014203,85
NM_152610,115
NM_001242837,77
NM_013452,85
NM_004679,68
NM_025245,102
NM_001346565,121
NM_002586,79
NM_006195,80
NM_002585,76
NM_000383,93
NM_014548,109
NM_022072,100
NM_017755,91
NM_018044,94
NM_199044,109
NM_024677,101
NM_182543,68
NM_001070,66
NM_001013407,83
NM_001010889,83
NM_001320509,67
NM_032599,111
NM_023013,89
NM_023014,89
NM_001290254,111
NM_001166292,96
NM_000412,88
NM_001083602,93
NM_001012276,90
NM_006351,108
NM_020227,88
NM_001004325,97
NM_001300907,98
NM_001286533,80
NM_004584,90
NM_020382,103
NM_016570,88
NM_198398,66
NM_001297753,42
NM_001031711,73
NM_001349839,84
NM_175060,75
NM_022341,91
NM_001288723,94
NM_080742,96
NM_054025,72
NM_018340,85
NM_153477,75
NM_001305626,71
NM_005184,107
NM_016630,108
NM_006888,103
NM_178171,96
NM_018530,97
NM_031415,82
NM_001166237,99
NM_004403,122
NM_006952,124
NM_001346810,94
NM_005030,79
NM_004746,88
NM_014467,112
NM_001146015,98
NM_001242810,62
NM_021038,107
NM_144778,104
NM_001170704,111
NM_004073,54
NM_130786,98
NM_006622,82
NM_007280,113
NM_004155,93
NM_173872,73
NM_004366,119
NM_000083,75
NM_153350,87
NM_001287,102
NM_005045,70
NM_001127899,116
NM_001830,68
NM_003543,NaN
NM_015566,124
NM_139199,104
NM_001317951,74
NM_058243,80
NM_001348107,64
NM_001173984,99
NM_001080514,69
NM_001304808,81
NM_001291986,41
NM_007371,86
NM_005880,91
NM_005147,104
NM_001539,80
NM_018602,97
NM_005163,80
NM_080685,98
NM_002835,87
NM_001330437,103
NM_001302836,97
NM_012333,115
NM_001137549,102
NM_003614,113
NM_003857,91
NM_001480,64
NM_007124,107
NM_017816,85
NM_022843,71
NM_003956,87
NM_206967,81
NM_145729,73
NM_016504,98
NM_001161529,103
NM_004010,70
NM_001318485,67
NM_014117,81
NM_014180,106
NM_020759,91
NM_001256871,NaN
NM_174912,114
NM_080491,78
NM_001081573,83
NM_001297658,88
NM_001145054,77
NM_001099334,78
NM_001162483,80
NM_001353546,87
NM_002523,86
NM_004132,101
NM_001193552,61
NM_152677,119
NM_001320329,94
NM_032013,74
NM_001130487,91
NM_181877,29
NM_001039465,95
NM_005626,67
NM_001031684,96
NM_006275,79
NM_001078166,75
NM_001348451,105
NM_003017,109
NM_024108,115
NM_016459,79
NM_001351234,69
NM_003769,70
NM_001798,49
NM_001024594,104
NM_018434,83
NM_213589,69
NM_016306,93
NM_001258,75
NM_172367,98
NM_001184992,111
NM_001031723,75
NM_016271,97
NM_007218,87
NM_001354067,73
NM_004935,95
NM_024052,43
NM_001136498,89
NM_018464,76
NM_001293,81
NM_001278480,120
NM_001256873,NaN
NM_002438,77
NM_173485,72
NM_001321990,68
NM_001324069,66
NM_017896,87
NM_001821,118
NM_004118,112
NM_015873,77
NM_016535,56
NM_001260,77
NM_152478,81
NM_001320371,33
NM_001184717,80
NM_001318002,111
NM_032828,102
NM_001204814,95
NM_016089,83
NM_001349726,107
NM_018676,97
NM_001174103,113
NM_033082,114
NM_001287758,111
NM_001884,91
NM_152344,114
NM_002779,112
NM_006549,81
NM_032294,75
NM_000092,87
NM_019107,108
NM_001307952,83
NM_001198690,102
NM_021817,86
NM_019041,80
NM_001101421,NaN
NM_033054,88
NM_012335,93
NM_004998,86
NM_015194,91
NM_001080779,119
NM_001130158,111
NM_001256041,77
NM_002087,87
NM_016079,111
NM_001350496,113
NM_001001788,116
NM_014672,106
NM_152272,82
NM_024591,81
NM_004327,68
NM_152678,89
NM_001258024,NaN
NM_001258311,NaN
NM_170725,132
NM_170753,80
NM_006101,88
NM_014181,125
NM_001032377,90
NM_025261,89
NM_021246,NaN
NM_001199922,57
NM_005523,77
NM_018951,87
NM_001143883,85
NM_001725,80
NM_001135789,85
NM_181607,81
NM_181612,81
NM_001164261,85
NM_001123068,85
NM_001164262,85
NM_020940,100
NM_001099219,90
NM_001354251,65
NM_001190724,75
NM_002380,84
NM_001201461,92
NM_145292,99
NM_014347,117
NM_001184739,89
NM_182976,75
NM_053006,70
NM_001351775,122
NM_001242797,98
NM_001286495,87
NM_025182,59
NM_003130,111
NM_024620,68
NM_001323668,79
NM_004562,105
NM_021947,85
NM_009587,105
NM_001289166,63
NM_001037163,81
NM_001357678,99
NM_006498,93
NM_002305,119
NM_003140,116
NM_002307,85
NM_001282761,115
NM_006149,109
NM_006681,91
NM_018064,112
NM_024595,110
NM_014413,89
NM_015666,102
NM_004836,69
NM_002759,114
NM_003211,75
NM_001013703,105
NM_001116,105
NM_021077,108
NM_001432,89
NM_001163735,99
NM_001329755,73
NM_001198950,68
NM_182916,80
NM_001247996,74
NM_003887,73
NM_017707,65
NM_001318784,55
NM_021934,100
NM_002659,91
NM_001136049,46
NM_181535,79
NM_013332,101
NM_006446,91
NM_001013653,72
NM_019844,81
NM_007030,107
NM_001135217,74
NM_001145862,89
NM_004870,117
NM_207119,38
NM_002317,76
NM_001320808,131
NM_001080851,134
NM_012163,113
NM_144598,120
NM_001167947,66
NM_016591,85
NM_006335,81
NM_001097634,97
NM_004751,83
NM_001491,69
NM_001004734,NaN
NM_032521,92
NM_001282463,41
NM_153613,80
NM_006532,118
NM_005768,114
NM_001004755,NaN
NM_024830,86
NM_001320862,40
NM_021242,102
NM_181429,NaN
NM_002641,119
NM_004855,78
NM_002642,99
NM_173074,86
NM_005795,79
NM_004569,82
NM_001123391,90
NM_005482,94
NM_004278,87
NM_145167,103
NM_176787,74
NM_032634,107
NM_016430,69
NM_004204,65
NM_002644,101
NM_033198,107
NM_030768,69
NM_080476,115
NM_018081,100
NM_178517,75
NM_001166304,NaN
NM_001042616,108
NM_025163,75
NM_005893,91
NM_176883,NaN
NM_001277199,77
NM_006024,102
NM_001195637,NaN
NM_014604,79
NM_015114,91
NM_052924,104
NM_018127,58
NM_002543,97
NM_198833,64
NM_001303448,81
NM_001195304,28
NM_198515,78
NM_001085447,93
NM_001145641,83
NM_001164399,103
NM_001048265,95
NM_001278549,76
NM_001199579,105
NM_001142386,86
NM_001199898,103
NM_006579,97
NM_002612,100
NM_005575,79
NM_001631,103
NM_002403,81
NM_013336,91
NM_018144,95
NM_000478,100
NM_032027,115
NM_031940,56
NM_078474,107
NM_001328655,89
NM_013239,65
NM_004528,118
NM_019006,118
NM_001136033,86
NM_001282905,65
NM_021943,95
NM_024699,105
NM_001080467,74
NM_080675,53
NM_001145195,84
NM_152264,59
NM_001127257,91
NM_001352691,95
NM_018230,118
NM_001351660,94
NM_004588,115
NM_153223,80
NM_178463,61
NM_032364,115
NM_006180,85
NM_001007156,77
NM_001242481,91
NM_001256024,103
NM_020824,82
NM_013238,118
NM_001282290,114
NM_015071,96
NM_001007231,84
NM_001025616,80
NM_001167741,74
NM_004815,81
NM_001010000,87
NM_005415,122
NM_001005283,83
NM_001195056,51
NM_032867,83
NM_002455,100
NM_180991,93
NM_024805,81
NM_001858,80
NM_001173488,52
NM_007144,129
NM_001003652,91
NM_001085487,121
NM_000942,26
NM_015104,80
NM_018036,84
NM_005281,96
NM_001718,73
NM_021073,111
NM_001347916,95
NM_001201,117
NM_001286099,109
NM_006129,75
NM_005282,93
NM_001938,116
NM_175911,49
NM_001004744,NaN
NM_001011663,80
NM_024319,91
NM_001355465,43
NM_017673,95
NM_005652,122
NM_001277308,120
NM_017489,114
NM_018154,117
NM_001282493,119
NM_001282472,119
NM_001004461,NaN
NM_016013,116
NM_001350919,67
NM_001350920,67
NM_181077,107
NM_177433,81
NM_001023567,107
NM_001291540,84
NM_001288780,116
NM_001348372,78
NM_170714,74
NM_001305108,64
NM_175732,111
NM_014737,82
NM_182663,118
NM_032023,100
NM_001143993,103
NM_177532,90
NM_001443,80
NM_001350853,86
NM_001144939,78
NM_017838,103
NM_080657,74
NM_018346,91
NM_006859,91
NM_001270,106
NM_138813,55
NM_001005271,NaN
NM_001271,90
NM_015557,69
NM_001273,124
NM_017780,125
NM_032221,56
NM_001352127,105
NM_001170629,114
NM_000023,105
NM_001350479,127
NM_006366,128
NM_006432,77
NM_000271,93
NM_006929,101
NM_139320,39
NM_172089,98
NM_138376,88
NM_173552,96
NM_001310135,80
NM_003314,93
NM_001257407,101
NM_003316,75
NM_015040,125
NM_020453,87
NM_024616,54
NM_015351,67
NM_001288781,87
NM_004058,93
NM_001165928,72
NM_001323955,107
NM_001031703,107
NM_025184,97
NM_018100,83
NM_001747,95
NM_001330390,118
NM_003714,85
NM_014297,97
NM_022114,86
NM_207627,47
NM_001348985,90
NM_001282934,65
NM_001199978,54
NM_020360,103
NM_020228,85
NM_021105,89
NM_022437,89
NM_001242757,90
NM_001330561,98
NM_001258355,88
NM_001012708,97
NM_001242875,71
NM_003529,NaN
NM_020675,84
NM_005035,86
NM_007033,88
NM_001317033,79
NM_000530,119
NM_003447,123
NM_001322042,112
NM_001009999,99
NM_152407,95
NM_002669,93
NM_001039948,103
NM_001826,94
NM_001323265,74
NM_001143757,55
NM_002525,27
NM_181711,96
NM_003536,110
NM_001330684,48
NM_018088,119
NM_018292,102
NM_004106,110
NM_017589,94
NM_001130914,79
NM_006763,79
NM_001731,92
NM_003462,52
NM_032214,88
NM_144645,111
NM_003865,89
NM_173487,69
NM_024592,102
NM_001198793,96
NM_001324323,100
NM_024573,106
NM_001289067,68
NM_005088,122
NM_030797,94
NM_001353259,96
NM_174924,77
NM_004926,104
NM_006887,77
NM_001172688,44
NM_207373,93
NM_001291641,51
NM_015044,100
NM_032413,93
NM_001314059,76
NM_001350921,69
NM_152565,72
NM_144597,88
NM_001321761,102
NM_001291978,98
NM_001318202,108
NM_001281740,127
NM_000673,43
NM_001145140,76
NM_000671,114
NM_001306171,65
NM_000297,72
NM_001009944,74
NM_006177,129
NM_020435,93
NM_001170330,NaN
NM_005497,89
NM_001160183,107
NM_178445,103
NM_002732,87
NM_021199,89
NM_001304349,99
NM_002800,86
NM_001242860,102
NM_020799,74
NM_001330716,99
NM_001144932,116
NM_001352450,55
NM_003435,96
NM_001289402,81
NM_002793,104
NM_033070,95
NM_001242671,87
NM_000494,60
NM_001300750,83
NM_015933,70
NM_031219,105
NM_006755,91
NM_020456,102
NM_001012417,73
NM_002036,95
NM_003212,70
NM_152421,86
NM_138774,82
NM_001291283,NaN
NM_080739,91
NM_001358292,83
NM_032854,NaN
NM_024535,86
NM_144697,64
NM_001281443,119
NM_001282534,94
NM_033310,79
NM_003740,80
NM_004823,78
NM_005714,94
NM_001040108,103
NM_002245,108
NM_021117,89
NM_197964,112
NM_001981,97
NM_001350649,70
NM_001303419,90
NM_178556,85
NM_144653,76
NM_147161,93
NM_003890,95
NM_001160094,90
NM_033305,85
NM_001353891,78
NM_001018088,73
NM_017890,94
NM_001159560,79
NM_001080425,81
NM_206915,132
NM_001168399,65
NM_001130042,104
NM_004719,93
NM_015231,83
NM_015111,96
NM_017854,108
NM_030923,65
NM_018475,115
NM_032227,99
NM_001003927,90
NM_001287497,56
NM_006495,81
NM_003593,67
NM_002158,88
NM_013400,69
NM_032316,76
NM_152400,85
NM_021110,79
NM_001135924,64
NM_000835,100
NM_004297,103
NM_001134407,104
NM_007353,74
NM_173546,79
NM_001271863,72
NM_001756,74
NM_024654,112
NM_016044,60
NM_024333,78
NM_212471,74
NM_000593,120
NM_001136265,NaN
NM_022092,82
NM_001310321,81
NM_152474,79
NM_002184,113
NM_001256717,89
NM_030962,113
NM_001348291,97
NM_006031,79
NM_001142648,80
NM_001276277,78
NM_016167,68
NM_001199954,71
NM_002541,109
NM_001286645,105
NM_024529,113
NM_001354199,69
NM_175747,79
NM_003007,104
NM_003008,104
NM_001427,67
NM_001105558,77
NM_003390,76
NM_001190811,90
NM_020364,79
NM_020363,79
NM_004081,79
NM_176888,107
NM_001005375,79
NM_152546,120
NM_016945,97
NM_023921,NaN
NM_001284325,100
NM_005504,90
NM_173491,80
NM_152379,83
NM_153698,115
NM_001351661,97
NM_014067,76
NM_001184742,68
NM_003886,56
NM_004857,72
NM_004274,75
NM_016377,82
NM_001122956,102
NM_001242903,124
NM_001198656,69
NM_004128,97
NM_144505,101
NM_006310,36
NM_006893,109
NM_005858,78
NM_005751,74
NM_032025,105
NM_000825,71
NM_057157,74
NM_173510,109
NM_153336,90
NM_016262,98
NM_001287343,118
NM_001281463,95
NM_012421,113
NM_015700,54
NM_001100829,96
NM_015056,97
NM_002516,63
NM_002515,105
NM_001256932,75
NM_001301746,77
NM_003299,84
NM_001256867,NaN
NM_001004696,NaN
NM_001195386,82
NM_007043,117
NM_001304438,112
NM_133448,91
NM_017870,76
NM_001160213,108
NM_052907,98
NM_001080453,101
NM_002557,87
NM_003162,66
NM_198582,82
NM_001083,79
NM_198564,89
NM_001003760,97
NM_001297765,77
NM_004344,110
NM_197956,116
NM_145867,93
NM_033026,105
NM_001039715,85
NM_001242503,104
NM_182894,100
NM_002989,110
NM_004591,78
NM_005064,96
NM_002990,68
NM_005624,88
NM_002991,NaN
NM_006664,95
NM_006072,117
NM_025144,116
NM_020778,80
NM_015329,101
NM_001199781,105
NM_001031839,83
NM_001007090,113
NM_001261451,101
NM_152765,94
NM_012474,105
NM_001286581,79
NM_017922,122
NM_004881,112
NM_001202543,121
NM_015267,114
NM_001318716,102
NM_001195256,NaN
NM_018310,73
NM_032412,88
NM_001519,89
NM_173651,NaN
NM_152597,67
NM_014280,116
NM_001025105,131
NM_203377,92
NM_001297707,95
NM_025219,107
NM_001256864,70
NM_003315,117
NM_001351684,101
NM_014377,116
NM_015891,85
NM_000562,100
NM_018074,69
NM_002529,86
NM_004287,69
NM_003054,103
NM_001135691,109
NM_006371,70
NM_173488,108
NM_016052,104
NM_012351,21
NM_005921,119
NM_006788,100
NM_020126,68
NM_004672,87
NM_015646,109
NM_001010935,100
NM_138558,104
NM_178819,113
NM_052857,104
NM_001005850,90
NM_001291958,113
NM_138466,86
NM_001102657,113
NM_018335,91
NM_005923,80
NM_001289967,105
NM_001134779,62
NM_002154,70
NM_001004712,NaN
NM_005958,107
NM_001317917,82
NM_014652,75
NM_005058,81
NM_001164257,112
NM_145178,82
NM_000019,114
NM_001303253,92
NM_001355247,115
NM_005172,NaN
NM_173557,79
NM_030576,108
NM_014240,77
NM_001348711,103
NM_052916,98
NM_032827,82
NM_000393,99
NM_001282678,80
NM_000100,107
NM_002023,119
NM_001308120,70
NM_199047,NaN
NM_002457,83
NM_004992,46
NM_001267708,112
NM_173560,135
NM_001193311,60
NM_001099694,92
NM_000527,107
NM_001172086,113
NM_001243721,NaN
NM_001164471,NaN
NM_001077697,44
NM_022573,44
NM_001197242,44
NM_001005203,NaN
NM_001162536,72
NM_001198953,87
NM_144588,110
NM_001302643,59
NM_139075,76
NM_031296,129
NM_001286121,79
NM_032558,74
NM_020346,84
NM_001172659,77
NM_005074,24
NM_005835,73
NM_019599,97
NM_001039845,119
NM_022744,113
NM_014469,79
NM_001258205,99
NM_003692,103
NM_001040011,NaN
NM_018348,85
NM_015050,96
NM_016408,90
NM_175900,80
NM_001193452,77
NM_001013698,108
NM_005593,90
NM_001324197,88
NM_001098507,99
NM_178040,101
NM_176812,74
NM_152284,88
NM_004324,77
NM_021136,112
NM_004322,88
NM_001278158,86
NM_017614,92
NM_001135050,64
NM_001100817,NaN
NM_001354366,NaN
NM_001242907,105
NM_001278458,70
NM_198277,87
NM_207113,120
NM_212503,81
NM_001320537,124
NM_005749,110
NM_002022,116
NM_015160,118
NM_016272,110
NM_016507,72
NM_003718,68
NM_015953,97
NM_020179,79
NM_033018,43
NM_001161841,107
NM_001128205,82
NM_001261435,93
NM_032037,74
NM_005418,91
NM_021908,102
NM_001317012,77
NM_001692,95
NM_001693,114
NM_001323890,96
NM_001135219,103
NM_001004719,79
NM_015397,116
NM_001042490,67
NM_001304718,106
NM_001909,95
NM_001329456,89
NM_003571,74
NM_018675,77
NM_001195,102
NM_001318932,90
NM_002980,84
NM_178129,121
NM_013300,88
NM_003793,107
NM_001320750,112
NM_022468,92
NM_014302,87
NM_022122,91
NM_002563,98
NM_176798,78
NM_004771,83
NM_025230,105
NM_016212,73
NM_001253384,88
NM_006070,104
NM_001040107,117
NM_001336,102
NM_014470,102
NM_005440,72
NM_001254738,86
NM_005381,88
NM_020248,83
NM_000944,86
NM_001142353,112
NM_001243974,75
NM_024345,118
NM_000358,96
NM_173826,118
NM_002309,99
NM_001164665,72
NM_001197113,101
NM_006369,114
NM_017768,89
NM_001098519,64
NM_001256409,83
NM_144999,67
NM_006983,100
NM_020710,91
NM_033413,92
NM_001199018,90
NM_213647,84
NM_030765,32
NM_032047,77
NM_014159,85
NM_017559,103
NM_001001343,88
NM_006577,88
NM_014256,103
NM_022823,46
NM_018040,53
NM_001144937,NaN
NM_198540,72
NM_033309,83
NM_000682,74
NM_001330200,86
NM_001353388,80
NM_001159542,98
NM_138499,79
NM_207380,96
NM_001195082,79
NM_001349732,76
NM_001306147,63
NM_001174064,110
NM_001205201,82
NM_001303133,54
NM_025179,80
NM_001511,91
NM_001134415,71
NM_001270520,112
NM_015345,110
NM_002124,76
NM_001350237,74
NM_005049,93
NM_002125,NaN
NM_001134848,80
NM_001145018,78
NM_001080539,74
NM_145045,114
NM_001145463,106
NM_001318334,129
NM_001143980,79
NM_020470,113
NM_001042784,73
NM_001080503,94
NM_017818,94
NM_001301317,82
NM_001330255,80
NM_001290332,78
NM_175733,64
NM_001258419,54
NM_001348568,126
NM_014342,117
NM_212482,112
NM_001097,81
NM_001135805,83
NM_001136504,80
NM_032298,74
NM_020783,102
NM_003180,102
NM_001252065,92
NM_002416,99
NM_001024688,106
NM_001323964,67
NM_001282872,83
NM_005925,75
NM_001323603,105
NM_004657,109
NM_012232,77
NM_022760,69
NM_002181,82
NM_000785,103
NM_001351056,129
NM_001289864,56
NM_003934,114
NM_001303433,97
NM_001290184,84
NM_014575,72
NM_032567,111
NM_014704,87
NM_001347995,NaN
NM_015307,NaN
NM_153603,69
NM_006770,85
NM_003864,92
NM_033092,117
NM_018393,94
NM_152772,83
NM_001318856,69
NM_006617,90
NM_001037144,105
NM_017734,89
NM_016153,70
NM_001351114,103
NM_001289162,92
NM_017518,91
NM_001146,102
NM_001130090,96
NM_145038,84
NM_006843,91
NM_001145028,NaN
NM_015130,88
NM_000915,103
NM_001003892,107
NM_012082,74
NM_001146221,112
NM_198077,111
NM_001004747,NaN
NM_024097,73
NM_018050,119
NM_001301039,92
NM_001321400,91
NM_001243541,76
NM_022746,102
NM_001317338,100
NM_012405,91
